Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-1.5 / 1.5,ARI,ATL,-,-1.5 / 1.5
+2.5 / -2.5,CAR,MIN,-,+2.5 / -2.5
+7.0 / -7.0,CHI,DET,-,+7.0 / -7.0
-6.0 / 6.0,CIN,TAM,-,-6.0 / 6.0
+3.0 / -3.0,CLE,BUF,-,+3.0 / -3.0
+0.0 / -0.0,DEN,KAN,-,+0.0 / -0.0
-7.0 / 7.0,MIA,NYJ,-,-7.0 / 7.0
+3.5 / -3.5,NOR,PIT,-,+3.5 / -3.5
+3.0 / -3.0,NWE,GNB,-,+3.0 / -3.0
-3.0 / 3.0,NYG,JAX,-,-3.0 / 3.0
+6.0 / -6.0,OAK,STL,-,+6.0 / -6.0
+3.5 / -3.5,PHI,DAL,-,+3.5 / -3.5
+6.5 / -6.5,SDG,BAL,-,+6.5 / -6.5
+1.5 / -1.5,SEA,SFO,-,+1.5 / -1.5
+7.0 / -7.0,TEN,HOU,-,+7.0 / -7.0
+8.5 / -8.5,WAS,IND,-,+8.5 / -8.5
