Game,EGO,Spread,Spread Target,Pick
MIN @ DET,1.62,1.5,"[2.0, -0.0]",MIN
WAS @ DAL,-3.75,5.5,"[7.5, 5.0]",WAS
PIT @ IND,2.52,-8.0,"[-4.0, -6.0]",
ARI @ ATL,-6.88,4.0,"[5.5, 3.0]",ATL
CIN @ BAL,-2.55,3.5,"[6.0, 4.0]",
JAC @ BUF,-8.64,8.5,"[12.5, 10.0]",
LARM @ NO,-5.24,8.0,"[9.0, 6.5]",LARM
NYG @ CLE,6.98,-6.5,"[-3.5, -5.5]",
SD @ HOU,3.84,-2.5,"[-0.0, -2.5]",SD
SF @ MIA,-9.27,7.5,"[8.0, 5.5]",MIA
TEN @ CHI,-1.74,-6.5,"[0.0, -2.0]",
SEA @ TB,5.47,-5.0,"[-2.0, -4.0]",
CAR @ OAK,-5.18,3.5,"[3.5, 1.5]",OAK
NE @ NYJ,9.54,-8.5,"[-6.0, -8.0]",
KC @ DEN,-2.83,3.5,"[6.5, 4.5]",
GB @ PHI,-8.5,4.0,"[7.0, 5.0]",
