TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-0.6%,19,-2.1%,19,4-5-1,-10.6%,25,-16.6%,3,-6.6%,30
ATL,18.9%,4,19.5%,5,6-4,24.6%,2,8.6%,27,2.8%,6
BAL,0.8%,15,1.0%,17,5-5,-18.2%,30,-16.4%,4,2.5%,8
BUF,9.1%,9,10.2%,8,5-5,10.0%,7,0.8%,16,-0.1%,17
CAR,-4.5%,22,-4.7%,21,4-6,-2.4%,18,-2.3%,13,-4.3%,29
CHI,-6.9%,24,-5.0%,23,2-8,-5.4%,22,2.3%,19,0.8%,14
CIN,-0.3%,17,-0.5%,18,3-6-1,6.5%,11,3.2%,21,-3.7%,26
CLE,-36.7%,32,-37.4%,32,0-11,-15.3%,28,17.9%,30,-3.5%,23
DAL,19.2%,3,19.7%,4,9-1,25.8%,1,8.5%,25,1.9%,11
DEN,7.1%,11,6.7%,11,7-3,-11.1%,26,-17.7%,2,0.4%,16
DET,-13.2%,26,-12.9%,27,6-4,-0.4%,14,19.4%,32,6.7%,2
GB,-3.1%,18,-5.0%,22,4-6,2.5%,12,1.9%,18,-3.8%,27
HOU,-25.9%,30,-25.8%,30,6-4,-21.7%,32,-2.9%,12,-7.1%,31
IND,-13.6%,27,-12.8%,26,5-5,-1.2%,15,18.5%,31,6.1%,3
JAC,-20.1%,28,-19.8%,29,2-8,-16.9%,29,-0.3%,15,-3.5%,24
KC,5.5%,13,3.9%,14,7-3,-3.0%,20,-3.8%,11,4.7%,5
LARM,-8.9%,25,-8.1%,25,4-6,-21.1%,31,-6.1%,9,6.1%,4
MIA,12.3%,6,14.6%,6,6-4,0.6%,13,-10.7%,7,1.0%,13
MIN,6.0%,12,4.4%,13,6-4,-9.2%,23,-12.5%,6,2.7%,7
NE,20.8%,5,22.1%,3,8-2,22.0%,3,3.1%,20,1.8%,12
NO,4.4%,14,5.8%,12,4-6,15.7%,5,8.0%,24,-3.3%,22
NYG,3.8%,16,3.3%,15,7-3,-2.1%,17,-9.9%,8,-3.9%,28
NYJ,-29.1%,31,-29.4%,31,3-7,-14.3%,27,7.0%,23,-7.8%,32
OAK,9.4%,7,8.9%,9,8-2,17.5%,4,10.0%,29,2.0%,10
PHI,25.4%,1,24.3%,2,5-5,-5.3%,21,-21.6%,1,9.1%,1
PIT,7.2%,10,8.5%,10,5-5,7.6%,10,-0.4%,14,-0.8%,19
SD,1.4%,20,1.3%,16,4-6,-1.5%,16,-4.4%,10,-1.5%,20
SEA,26.7%,2,27.8%,1,7-2-1,9.5%,9,-16.4%,5,0.7%,15
SF,-18.4%,29,-18.4%,28,1-9,-9.8%,24,8.5%,26,-0.1%,18
TB,-6.4%,23,-6.4%,24,5-5,-2.8%,19,1.5%,17,-2.1%,21
TEN,-3.6%,21,-2.8%,20,5-6,9.6%,8,9.6%,28,-3.6%,25
WAS,11.3%,8,12.7%,7,6-3-1,15.3%,6,6.2%,22,2.2%,9
