Game,EGO,Spread,Spread Target,Pick
CHI @ BUF,0.83,-3.0,"[-2.5, -4.5]",BUF
MIA @ BAL,-1.06,5.0,"[5.0, 2.5]",MIA
NE @ CLE,4.55,-4.0,"[-1.0, -3.0]",
SD @ HOU,0.97,-3.0,"[-2.5, -4.5]",HOU
TB @ ATL,-7.2,9.0,"[11.0, 8.5]",TB
NYJ @ DET,1.94,-5.5,"[-3.5, -5.5]",DET
NO @ CAR,7.65,-6.5,"[-4.0, -6.0]",
ARI @ MIN,-9.4,7.5,"[8.0, 5.5]",MIN
NYG @ SEA,6.35,-7.5,"[-8.0, -10.0]",
KC @ OAK,6.42,0.0,"[-2.5, -5.0]",
IND @ PHI,-4.83,3.0,"[3.5, 1.0]",PHI
DAL @ GB,-8.56,7.0,"[7.0, 5.0]",GB
PIT @ CIN,5.24,-5.5,"[-6.5, -9.0]",
