TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-38.0%,32,-37.9%,32,3-4,-34.2%,31,5.3%,24,1.6%,14
ATL,12.1%,9,11.9%,12,5-2,15.1%,7,3.4%,21,0.5%,15
BAL,8.3%,12,8.2%,13,5-2,7.3%,11,2.5%,17,3.5%,10
BUF,-28.5%,30,-28.3%,30,0-7,-4.5%,22,28.0%,32,4.1%,8
CAR,-37.2%,31,-37.2%,31,1-6,-42.4%,32,-6.0%,8,-0.8%,20
CHI,-14.8%,24,-14.5%,26,4-3,-29.5%,30,-6.9%,7,7.8%,2
CIN,-7.1%,19,-7.3%,20,2-5,2.0%,17,7.3%,25,-1.8%,22
CLE,-3.6%,20,-3.5%,17,2-5,-3.8%,21,3.3%,20,3.5%,9
DAL,-15.2%,17,-15.8%,27,1-6,0.8%,18,16.3%,28,0.4%,16
DEN,-24.0%,29,-24.2%,29,2-6,4.3%,15,23.6%,31,-4.7%,29
DET,-4.7%,21,-4.3%,18,2-5,-5.7%,24,3.9%,23,4.9%,6
GB,14.1%,11,13.8%,10,5-3,12.7%,8,-7.0%,6,-5.6%,30
HOU,2.6%,15,2.6%,15,4-3,27.4%,2,22.8%,30,-1.9%,23
IND,15.5%,10,15.5%,8,5-2,22.9%,4,3.1%,19,-4.4%,28
JAC,-12.8%,28,-12.7%,25,4-4,-1.2%,20,18.9%,29,7.3%,3
KC,29.4%,4,29.2%,1,5-2,17.9%,6,-8.7%,5,2.9%,12
MIA,12.8%,13,13.5%,11,4-3,10.7%,10,-2.3%,13,-0.1%,17
MIN,-4.6%,18,-4.3%,19,2-5,-7.3%,26,0.7%,15,3.4%,11
NE,26.8%,3,26.7%,4,6-1,32.7%,1,11.4%,27,5.5%,5
NO,6.3%,14,6.4%,14,5-3,5.1%,14,-3.1%,12,-2.0%,24
NYG,25.3%,1,25.6%,6,5-2,11.8%,9,-20.6%,1,-7.1%,31
NYJ,14.9%,7,14.4%,9,5-2,5.2%,13,-4.0%,10,5.7%,4
OAK,-10.0%,26,-9.1%,22,4-4,-7.2%,25,1.2%,16,-1.6%,21
PHI,27.3%,6,27.5%,2,4-3,25.3%,3,-4.7%,9,-2.7%,26
PIT,25.8%,2,25.9%,5,5-2,3.7%,16,-19.9%,2,2.3%,13
SD,17.0%,8,17.0%,7,3-5,20.9%,5,-12.4%,4,-16.3%,32
SEA,-11.8%,16,-12.4%,24,4-3,-18.1%,29,2.7%,18,9.0%,1
SF,-4.1%,22,-3.4%,16,2-6,-7.5%,27,-3.7%,11,-0.3%,18
STL,-16.9%,27,-16.9%,28,4-4,-13.9%,28,-0.5%,14,-3.5%,27
TB,-11.0%,25,-11.2%,23,5-2,-0.4%,19,8.6%,26,-2.0%,25
TEN,26.8%,5,27.0%,3,5-3,5.9%,12,-16.4%,3,4.5%,7
WAS,-8.9%,23,-8.9%,21,4-4,-4.9%,23,3.6%,22,-0.4%,19
