TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-6.0%,24,-7.8%,22,4-6,-22.7%,31,-17.7%,4,-1.1%,22
ATL,4.8%,11,1.2%,15,9-1,3.4%,17,0.3%,14,1.7%,12
BAL,13.3%,8,11.2%,9,8-2,3.5%,16,2.9%,22,12.7%,1
BUF,-7.3%,23,-6.9%,21,4-6,2.1%,18,15.2%,29,5.8%,5
CAR,-5.1%,19,-4.8%,19,2-8,-4.0%,19,-6.5%,8,-7.6%,31
CHI,22.9%,5,23.4%,6,7-3,-19.0%,29,-35.0%,1,6.8%,4
CIN,-0.4%,18,2.8%,14,5-5,5.5%,12,10.0%,25,4.1%,8
CLE,-19.6%,28,-17.8%,26,2-8,-18.9%,27,5.6%,23,4.9%,6
DAL,5.1%,10,5.0%,11,5-5,5.2%,13,0.5%,16,0.4%,18
DEN,38.4%,1,39.6%,3,7-3,18.0%,4,-17.4%,5,3.1%,11
DET,1.0%,14,0.3%,16,4-6,13.9%,6,7.5%,24,-5.4%,28
GB,31.1%,4,29.6%,5,7-3,18.3%,3,-11.7%,7,1.1%,16
HOU,20.1%,7,18.5%,7,9-1,9.7%,8,-18.0%,3,-7.6%,30
IND,-26.0%,27,-26.9%,28,6-4,4.0%,14,25.6%,32,-4.5%,27
JAC,-35.9%,32,-35.8%,30,1-9,-20.2%,30,13.9%,27,-1.8%,23
KC,-41.0%,31,-40.1%,32,1-9,-29.6%,32,10.9%,26,-0.5%,20
MIA,-8.4%,20,-10.5%,24,4-6,-17.3%,26,-4.3%,10,4.5%,7
MIN,0.7%,15,-0.3%,17,6-4,-5.0%,20,1.3%,18,7.0%,3
NE,39.3%,2,41.6%,2,7-3,34.0%,1,2.5%,20,7.8%,2
NO,2.2%,16,3.7%,13,5-5,17.4%,5,18.4%,31,3.2%,10
NYG,14.8%,9,13.7%,8,6-4,10.1%,7,-3.2%,11,1.4%,15
NYJ,-10.2%,25,-10.9%,25,4-6,-16.9%,25,-5.3%,9,1.4%,14
OAK,-36.0%,30,-36.6%,31,3-7,-10.5%,23,17.5%,30,-8.0%,32
PHI,-23.4%,26,-25.5%,27,3-7,-18.9%,28,0.7%,17,-3.8%,25
PIT,5.3%,12,7.6%,10,6-4,3.8%,15,-1.1%,13,0.4%,19
SD,-11.0%,22,-9.6%,23,4-6,-9.5%,22,2.0%,19,0.5%,17
SEA,34.4%,3,35.1%,4,6-4,9.0%,9,-22.0%,2,3.4%,9
SF,41.7%,6,42.4%,1,7-2-1,24.7%,2,-15.4%,6,1.5%,13
STL,-6.0%,17,-6.1%,20,3-6-1,-5.5%,21,-1.4%,12,-1.9%,24
TB,3.4%,13,4.5%,12,6-4,8.1%,10,0.3%,15,-4.4%,26
TEN,-28.9%,29,-28.4%,29,4-6,-13.1%,24,15.1%,28,-0.7%,21
WAS,-1.0%,21,-0.4%,18,4-6,6.9%,11,2.5%,21,-5.4%,29
