Game,EGO,Spread,Spread Target,Pick
HOU @ DET,1.82,-4.0,"[-3.5, -5.5]",DET
WAS @ DAL,-3.4,3.5,"[7.0, 5.0]",
NE @ NYJ,9.78,-7.0,"[-6.0, -8.5]",NE
MIN @ CHI,-7.32,6.5,"[6.0, 3.5]",
ATL @ TB,-2.94,-1.5,"[1.5, -1.0]",
OAK @ CIN,-10.59,8.0,"[9.0, 7.0]",CIN
PIT @ CLE,3.45,-2.0,"[0.0, -2.0]",PIT
BUF @ IND,2.23,3.0,"[1.5, -0.5]",
DEN @ KC,15.17,-10.5,"[-11.5, -13.5]",
SEA @ MIA,8.12,-3.0,"[-4.5, -6.5]",
TEN @ JAC,-0.59,-3.5,"[-1.0, -3.0]",
BAL @ SD,2.41,-1.0,"[1.5, -1.0]",BAL
SF @ NO,6.51,-1.5,"[-3.0, -5.0]",
STL @ ARI,-1.85,1.0,"[0.5, -2.0]",
GB @ NYG,1.3,2.5,"[2.5, 0.0]",GB
CAR @ PHI,2.39,-3.0,"[-4.0, -6.0]",
