Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-1.5 / 1.5,ATL,TAM,-,-1.5 / 1.5
-1.0 / 1.0,BAL,SDG,-,-1.0 / 1.0
+3.0 / -3.0,BUF,IND,-,+3.0 / -3.0
-3.0 / 3.0,CAR,PHI,-,-3.0 / 3.0
-10.5 / 10.5,DEN,KAN,-,-10.5 / 10.5
+2.5 / -2.5,GNB,NYG,-,+2.5 / -2.5
-4.0 / 4.0,HOU,DET,-,-4.0 / 4.0
+6.5 / -6.5,MIN,CHI,-,+6.5 / -6.5
-7.0 / 7.0,NWE,NYJ,-,-7.0 / 7.0
+8.0 / -8.0,OAK,CIN,-,+8.0 / -8.0
-2.0 / 2.0,PIT,CLE,-,-2.0 / 2.0
-3.0 / 3.0,SEA,MIA,-,-3.0 / 3.0
-1.5 / 1.5,SFO,NOR,-,-1.5 / 1.5
+1.0 / -1.0,STL,ARI,-,+1.0 / -1.0
-3.5 / 3.5,TEN,JAX,-,-3.5 / 3.5
+3.5 / -3.5,WAS,DAL,-,+3.5 / -3.5
