Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,BUF,10,Sun,November 15,4:05PM,1,boxscore,32,30,453,2,369,2,6.4%,-2.5
BAL,NE,10,Sun,November 15,8:20PM,0,boxscore,17,23,308,0,357,1,18.5%,-7.0
BUF,ARI,10,Sun,November 15,4:05PM,0,boxscore,30,32,453,2,369,2,5.9%,2.5
CAR,TB,10,Sun,November 15,1:00PM,1,boxscore,23,46,544,1,187,1,-3.7%,6.0
CHI,MIN,10,Mon,November 16,8:15PM,1,boxscore,13,19,385,2,149,2,-1.7%,3.0
CIN,PIT,10,Sun,November 15,4:25PM,0,boxscore,10,36,377,0,324,2,-18.9%,7.0
CLE,HOU,10,Sun,November 15,1:00PM,1,boxscore,10,7,356,0,243,0,-6.9%,-4.0
DEN,LV,10,Sun,November 15,4:05PM,0,boxscore,12,37,357,0,313,5,-16.1%,3.5
DET,WAS,10,Sun,November 15,1:00PM,1,boxscore,30,27,372,0,464,1,-3.4%,-3.0
GB,JAX,10,Sun,November 15,1:00PM,1,boxscore,24,20,395,2,260,1,11.6%,-14.0
HOU,CLE,10,Sun,November 15,1:00PM,0,boxscore,7,10,356,0,243,0,-4.4%,4.0
IND,TEN,10,Thu,November 12,8:20PM,0,boxscore,34,17,430,0,294,0,16.4%,-1.0
JAX,GB,10,Sun,November 15,1:00PM,0,boxscore,20,24,395,2,260,1,-18.8%,14.0
LAC,MIA,10,Sun,November 15,4:05PM,0,boxscore,21,29,280,1,273,1,-4.4%,1.5
LAR,SEA,10,Sun,November 15,4:25PM,1,boxscore,23,16,389,1,333,3,10.3%,-2.5
LV,DEN,10,Sun,November 15,4:05PM,1,boxscore,37,12,357,0,313,5,-6.6%,-3.5
MIA,LAC,10,Sun,November 15,4:05PM,1,boxscore,29,21,280,1,273,1,0.8%,-1.5
MIN,CHI,10,Mon,November 16,8:15PM,0,boxscore,19,13,385,2,149,2,2.8%,-3.0
NE,BAL,10,Sun,November 15,8:20PM,1,boxscore,23,17,308,0,357,1,-13.1%,7.0
NO,SF,10,Sun,November 15,4:25PM,1,boxscore,27,13,237,2,281,4,25.4%,-10.0
NYG,PHI,10,Sun,November 15,1:00PM,1,boxscore,27,17,382,0,346,0,-12.4%,4.0
PHI,NYG,10,Sun,November 15,1:00PM,0,boxscore,17,27,382,0,346,0,-7.5%,-4.0
PIT,CIN,10,Sun,November 15,4:25PM,1,boxscore,36,10,377,0,324,2,18.3%,-7.0
SEA,LAR,10,Sun,November 15,4:25PM,0,boxscore,16,23,389,1,333,3,12.9%,2.5
SF,NO,10,Sun,November 15,4:25PM,0,boxscore,13,27,237,2,281,4,2.9%,10.0
TB,CAR,10,Sun,November 15,1:00PM,0,boxscore,46,23,544,1,187,1,20.9%,-6.0
TEN,IND,10,Thu,November 12,8:20PM,1,boxscore,17,34,430,0,294,0,8.2%,1.0
WAS,DET,10,Sun,November 15,1:00PM,0,boxscore,27,30,372,0,464,1,-15.2%,3.0
