TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,9.9%,11,6.4%,11,5-3,8.4%,9,-3.0%,10,-1.5%,23
ATL,-7.5%,23,-2.6%,17,3-6,-0.8%,20,5.8%,20,-0.9%,19
BAL,24.5%,3,18.5%,4,6-2,-3.3%,23,-17.0%,5,10.8%,1
BUF,6.9%,14,5.9%,12,7-2,8.4%,10,4.2%,17,2.7%,8
CAR,0.9%,16,-3.7%,19,3-6,9.6%,8,8.1%,26,-0.5%,18
CHI,-2.6%,18,-1.7%,16,5-4,-18.7%,28,-17.1%,4,-1.1%,22
CIN,-23.1%,29,-18.9%,31,2-5-1,-14.1%,25,11.1%,29,2.1%,10
CLE,-10.5%,22,-6.9%,23,5-3,0.2%,17,5.0%,19,-5.7%,29
DAL,-20.3%,30,-17.2%,29,2-7,-16.6%,27,6.4%,23,2.7%,9
DEN,-21.7%,25,-16.1%,28,3-5,-22.1%,29,-3.8%,9,-3.5%,26
DET,-7.8%,17,-3.4%,18,3-5,-0.2%,19,7.5%,25,-0.1%,15
GB,19.8%,8,11.6%,8,6-2,24.6%,2,5.9%,21,1.0%,13
HOU,-6.5%,20,-4.4%,20,2-6,2.5%,14,9.0%,27,0.0%,14
IND,21.6%,5,16.4%,6,5-3,-3.0%,22,-20.1%,3,4.5%,6
JAX,-22.2%,31,-18.8%,30,1-7,-1.3%,21,18.4%,32,-2.6%,25
KC,25.6%,4,25.1%,2,8-1,24.9%,1,-1.7%,13,-1.0%,21
LAC,-6.8%,19,-4.4%,21,2-6,6.6%,11,2.9%,16,-10.6%,32
LAR,12.3%,10,10.3%,9,5-3,13.5%,5,-6.1%,8,-7.3%,31
LV,-8.4%,24,-6.6%,22,5-3,6.3%,12,14.3%,30,-0.4%,17
MIA,12.3%,9,0.8%,15,5-3,0.0%,18,-1.6%,14,10.7%,2
MIN,5.7%,15,2.8%,14,3-5,9.9%,7,-0.9%,15,-5.1%,28
NE,-19.7%,26,-13.1%,26,3-5,-8.5%,24,15.2%,31,4.0%,7
NO,31.7%,7,25.4%,1,6-2,13.4%,6,-13.4%,7,4.9%,5
NYG,-16.6%,27,-12.4%,25,2-7,-16.1%,26,6.1%,22,5.5%,3
NYJ,-38.1%,32,-29.8%,32,0-9,-24.7%,32,9.7%,28,-3.7%,27
PHI,-20.5%,28,-7.5%,24,3-4-1,-22.1%,30,-2.6%,11,-1.0%,20
PIT,25.2%,2,18.3%,5,8-0,2.0%,15,-21.5%,2,1.7%,11
SEA,16.3%,6,12.9%,7,6-2,18.1%,4,6.8%,24,5.0%,4
SF,4.6%,12,2.9%,13,4-5,1.8%,16,-1.7%,12,1.1%,12
TB,27.6%,1,20.9%,3,6-3,6.1%,13,-21.6%,1,-0.1%,16
TEN,8.9%,13,8.2%,10,6-2,20.2%,3,4.3%,18,-7.0%,30
WAS,-12.1%,21,-15.2%,27,2-6,-24.4%,31,-14.6%,6,-2.4%,24
