Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+1.5 / -1.5,IND,TEN,Final,-1.0 / +1.0
-6.0 / +6.0,TB,CAR,1:00 PM ET,-6.0 / +6.0
+2.5 / -2.5,HOU,CLE,1:00 PM ET,+4.0 / -4.0
+13.5 / -13.5,JAC,GB,1:00 PM ET,+14.0 / -14.0
+4.0 / -4.0,WAS,DET,1:00 PM ET,+3.0 / -3.0
-3.5 / +3.5,PHI,NYG,1:00 PM ET,-4.0 / +4.0
+2.0 / -2.0,BUF,ARI,4:05 PM ET,+2.5 / -2.5
+1.5 / -1.5,LAC,MIA,4:05 PM ET,+1.5 / -1.5
+3.5 / -3.5,DEN,LV,4:05 PM ET,+3.5 / -3.5
+6.5 / -6.5,SF,NO,4:25 PM ET,+10.0 / -10.0
+1.5 / -1.5,SEA,LAR,4:25 PM ET,+2.5 / -2.5
+10.0 / -10.0,CIN,PIT,4:25 PM ET,+7.0 / -7.0
-6.5 / +6.5,BAL,NE,8:20 PM ET,-7.0 / +7.0
+2.0 / -2.0,MIN,CHI,8:15 PM ET,-3.0 / +3.0
