Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.0 / 3.0,ARI,TEN,-,-3.0 / 3.0
+5.5 / -5.5,BAL,DET,-,+5.5 / -5.5
-4.0 / 4.0,BUF,JAX,-,-4.0 / 4.0
+1.0 / -1.0,CHI,CLE,-,+1.0 / -1.0
-1.5 / 1.5,CIN,PIT,-,-1.5 / 1.5
+4.0 / -4.0,GNB,DAL,-,+4.0 / -4.0
+6.0 / -6.0,HOU,IND,-,+6.0 / -6.0
-6.0 / 6.0,KAN,OAK,-,-6.0 / 6.0
-7.0 / 7.0,NOR,STL,-,-7.0 / 7.0
+2.5 / -2.5,NWE,MIA,-,+2.5 / -2.5
+10.0 / -10.0,NYJ,CAR,-,+10.0 / -10.0
-7.0 / 7.0,PHI,MIN,-,-7.0 / 7.0
+9.5 / -9.5,SDG,DEN,-,+9.5 / -9.5
-9.5 / 9.5,SEA,NYG,-,-9.5 / 9.5
-4.5 / 4.5,SFO,TAM,-,-4.5 / 4.5
+5.5 / -5.5,WAS,ATL,-,+5.5 / -5.5
