Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-6.0 / 6.0,ARI,CLE,-,-6.0 / 6.0
+1.0 / -1.0,CIN,PIT,-,+1.0 / -1.0
+3.5 / -3.5,DET,KAN,-,+3.5 / -3.5
-2.5 / 2.5,GNB,DEN,-,-2.5 / 2.5
+6.5 / -6.5,IND,CAR,-,+6.5 / -6.5
+7.5 / -7.5,MIA,NWE,-,+7.5 / -7.5
-1.0 / 1.0,MIN,CHI,-,-1.0 / 1.0
+3.0 / -3.0,NYG,NOR,-,+3.0 / -3.0
-3.0 / 3.0,NYJ,OAK,-,-3.0 / 3.0
+3.5 / -3.5,SDG,BAL,-,+3.5 / -3.5
-4.5 / 4.5,SEA,DAL,-,-4.5 / 4.5
+7.5 / -7.5,SFO,STL,-,+7.5 / -7.5
+7.0 / -7.0,TAM,ATL,-,+7.0 / -7.0
+3.5 / -3.5,TEN,HOU,-,+3.5 / -3.5
