Game,EGO,Spread,Spread Target,Pick
IND @ TEN,1.03,-3.0,"[-2.5, -4.5]",TEN
BAL @ CHI,-7.91,3.5,"[6.5, 4.0]",
CLE @ CIN,-6.62,4.5,"[5.0, 3.0]",CIN
DET @ PIT,1.17,-3.0,"[-2.5, -5.0]",PIT
NYJ @ BUF,-0.32,-2.0,"[-1.0, -3.5]",BUF
WAS @ PHI,-7.13,4.0,"[5.5, 3.5]",PHI
ATL @ TB,-2.79,2.0,"[1.5, -1.0]",
OAK @ HOU,-5.31,10.5,"[9.0, 7.0]",
ARI @ JAC,13.4,-9.0,"[-9.5, -12.0]",
SD @ MIA,-1.9,-3.0,"[0.5, -2.0]",
GB @ NYG,3.0,3.0,"[0.5, -1.5]",
SF @ NO,-3.92,3.5,"[2.5, 0.0]",
MIN @ SEA,-10.69,13.0,"[14.5, 12.0]",MIN
KC @ DEN,-7.2,7.5,"[11.0, 8.5]",
NE @ CAR,-5.86,3.0,"[4.5, 2.0]",CAR
