Game,EGO,Spread,Spread Target,Pick
SF @ SEA,-5.31,10.0,"[9.0, 7.0]",
CLE @ BAL,-10.36,12.0,"[14.0, 12.0]",CLE
DET @ GB,-5.64,6.0,"[9.5, 7.0]",
HOU @ NE,-10.36,12.5,"[14.0, 12.0]",HOU
MIA @ BUF,-0.75,1.0,"[4.5, 2.0]",
PIT @ CAR,-3.71,-2.5,"[2.0, 0.0]",
JAC @ TEN,3.59,-3.5,"[0.0, -2.0]",
WAS @ NO,-7.22,9.5,"[11.0, 8.5]",WAS
NYJ @ MIN,-2.14,3.0,"[6.0, 3.5]",
TB @ CHI,-13.85,13.5,"[12.5, 10.0]",
DEN @ ARI,2.61,-2.5,"[1.0, -1.0]",
PHI @ NYG,-3.18,6.0,"[7.0, 4.5]",PHI
STL @ OAK,-1.43,2.0,"[5.0, 3.0]",
KC @ SD,-6.13,9.0,"[10.0, 7.5]",KC
DAL @ ATL,7.89,-3.5,"[-4.0, -6.5]",
CIN @ IND,-4.83,3.5,"[3.5, 1.0]",IND
