Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.5 / -3.5,CIN,IND,-,+3.5 / -3.5
+12.0 / -12.0,CLE,BAL,-,+12.0 / -12.0
-3.5 / 3.5,DAL,ATL,-,-3.5 / 3.5
-2.5 / 2.5,DEN,ARI,-,-2.5 / 2.5
+6.0 / -6.0,DET,GNB,-,+6.0 / -6.0
+12.5 / -12.5,HOU,NWE,-,+12.5 / -12.5
-3.5 / 3.5,JAX,TEN,-,-3.5 / 3.5
+9.0 / -9.0,KAN,SDG,-,+9.0 / -9.0
+1.0 / -1.0,MIA,BUF,-,+1.0 / -1.0
+3.0 / -3.0,NYJ,MIN,-,+3.0 / -3.0
+6.0 / -6.0,PHI,NYG,-,+6.0 / -6.0
-2.5 / 2.5,PIT,CAR,-,-2.5 / 2.5
+10.0 / -10.0,SFO,SEA,-,+10.0 / -10.0
+2.0 / -2.0,STL,OAK,-,+2.0 / -2.0
+13.5 / -13.5,TAM,CHI,-,+13.5 / -13.5
+9.5 / -9.5,WAS,NOR,-,+9.5 / -9.5
