Game,EGO,Spread,Spread Target,Pick
DAL @ MIN,2.66,-3.0,"[-4.0, -6.5]",
DEN @ JAC,2.84,-3.5,"[-4.5, -6.5]",
DET @ NO,-6.45,6.5,"[10.0, 8.0]",
HOU @ GB,-8.27,6.5,"[7.0, 4.5]",GB
KC @ ATL,-4.42,5.0,"[8.0, 6.0]",
LARM @ NE,-9.71,13.0,"[13.5, 11.0]",LARM
MIA @ BAL,-0.93,3.5,"[4.5, 2.5]",MIA
PHI @ CIN,2.7,2.0,"[1.0, -1.0]",
SF @ CHI,-4.01,0.0,"[2.5, 0.5]",
BUF @ OAK,-3.27,3.0,"[2.0, -0.5]",
NYG @ PIT,-4.03,6.5,"[7.5, 5.5]",NYG
TB @ SD,-2.22,3.5,"[6.0, 3.5]",TB
WAS @ ARI,0.74,2.5,"[3.0, 1.0]",WAS
CAR @ SEA,-6.69,8.0,"[10.5, 8.0]",CAR
IND @ NYJ,-0.46,1.0,"[4.0, 2.0]",
