TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-3.0%,19,-3.7%,23,4-6-1,-12.3%,26,-15.1%,5,-5.8%,30
ATL,21.9%,5,21.8%,2,7-4,26.5%,2,7.4%,24,2.8%,7
BAL,5.1%,17,6.4%,12,6-5,-18.3%,30,-18.6%,1,4.8%,6
BUF,6.7%,9,6.1%,13,6-5,9.6%,8,3.3%,19,0.4%,16
CAR,-2.6%,22,-2.2%,21,4-7,-2.9%,19,-5.1%,10,-4.9%,29
CHI,-9.3%,24,-9.0%,24,2-9,-7.0%,23,3.4%,20,1.1%,13
CIN,-2.2%,18,-3.4%,22,3-7-1,3.0%,12,1.9%,18,-3.2%,25
CLE,-37.6%,32,-38.9%,32,0-12,-15.9%,29,17.8%,30,-3.8%,26
DAL,21.5%,4,23.1%,1,10-1,27.8%,1,8.5%,27,2.3%,10
DEN,4.9%,11,2.4%,17,7-4,-9.1%,24,-16.9%,2,-2.9%,22
DET,-12.3%,26,-10.6%,25,7-4,-0.2%,14,18.4%,31,6.4%,4
GB,2.2%,20,0.9%,19,5-6,6.9%,10,1.8%,17,-3.0%,24
HOU,-26.3%,30,-27.3%,31,6-5,-22.0%,31,-2.3%,14,-6.6%,31
IND,-18.4%,27,-18.2%,28,5-6,-5.4%,21,18.6%,32,5.6%,5
JAC,-19.6%,29,-20.3%,29,2-9,-15.7%,28,-0.1%,16,-3.9%,27
KC,10.1%,13,11.7%,8,8-3,-1.0%,15,-3.4%,13,7.7%,2
LARM,-13.8%,25,-14.4%,26,4-7,-23.7%,32,-2.3%,15,7.6%,3
MIA,9.1%,6,12.3%,7,7-4,1.5%,13,-6.5%,8,1.1%,12
MIN,3.7%,12,1.2%,18,6-5,-11.0%,25,-11.9%,6,2.8%,9
NE,18.3%,3,20.7%,3,9-2,21.0%,3,4.7%,21,1.9%,11
NO,7.5%,14,9.0%,11,5-6,18.2%,4,6.5%,22,-4.2%,28
NYG,5.1%,15,5.1%,14,8-3,-2.6%,18,-10.4%,7,-2.6%,21
NYJ,-26.9%,31,-26.2%,30,3-8,-13.0%,27,6.6%,23,-7.4%,32
OAK,12.1%,8,10.9%,9,9-2,17.1%,5,7.8%,26,2.8%,8
PHI,20.3%,2,18.7%,4,5-6,-5.3%,20,-16.3%,3,9.3%,1
PIT,12.9%,10,13.4%,6,6-5,9.1%,9,-4.7%,11,-0.8%,18
SD,2.6%,16,2.6%,16,5-6,-1.7%,16,-5.7%,9,-1.4%,19
SEA,19.2%,1,18.5%,5,7-3-1,3.1%,11,-15.1%,4,1.0%,14
SF,-17.1%,28,-17.2%,27,1-10,-6.2%,22,10.2%,29,-0.7%,17
TB,-0.2%,23,2.6%,15,6-5,-1.8%,17,-3.9%,12,-2.3%,20
TEN,-1.8%,21,0.2%,20,6-6,10.3%,7,9.2%,28,-2.9%,23
WAS,8.8%,7,9.7%,10,6-4-1,15.8%,6,7.8%,25,0.8%,15
