Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+8.0 / -8.0,BUF,NYJ,-,+8.0 / -8.0
+16.0 / -16.0,CLE,PHI,-,+16.0 / -16.0
+7.5 / -7.5,DEN,CAR,-,+7.5 / -7.5
+17.0 / -17.0,DET,IND,-,+17.0 / -17.0
-2.5 / 2.5,GNB,JAX,-,-2.5 / 2.5
+3.5 / -3.5,MIN,ARI,-,+3.5 / -3.5
+3.0 / -3.0,NOR,CHI,-,+3.0 / -3.0
-7.0 / 7.0,NWE,OAK,-,-7.0 / 7.0
+3.0 / -3.0,NYG,DAL,-,+3.0 / -3.0
+3.0 / -3.0,PIT,BAL,-,+3.0 / -3.0
-5.5 / 5.5,SDG,KAN,-,-5.5 / 5.5
-2.5 / 2.5,SEA,STL,-,-2.5 / 2.5
+5.5 / -5.5,SFO,MIA,-,+5.5 / -5.5
+4.5 / -4.5,TAM,ATL,-,+4.5 / -4.5
-3.0 / 3.0,TEN,HOU,-,-3.0 / 3.0
-6.5 / 6.5,WAS,CIN,-,-6.5 / 6.5
