Game,EGO,Spread,Spread Target,Pick
NO @ CHI,1.55,3.0,"[2.0, -0.0]",
SD @ KC,3.31,-5.5,"[-5.0, -7.0]",KC
SEA @ STL,4.39,-2.5,"[-0.5, -3.0]",SEA
BUF @ NYJ,-7.13,8.0,"[11.0, 8.5]",
DET @ IND,-15.16,17.0,"[19.0, 16.5]",DET
SF @ MIA,-8.29,5.5,"[7.0, 4.5]",MIA
TB @ ATL,-2.55,4.5,"[6.0, 4.0]",TB
WAS @ CIN,6.3,-6.5,"[-2.5, -5.0]",
GB @ JAC,3.18,-2.5,"[0.5, -1.5]",
TEN @ HOU,6.05,-3.0,"[-2.5, -4.5]",TEN
MIN @ ARI,-2.55,3.5,"[6.0, 4.0]",
DEN @ CAR,-8.43,7.5,"[7.0, 4.5]",
NE @ OAK,2.19,-7.0,"[-3.5, -6.0]",
PIT @ BAL,-4.72,3.0,"[3.0, 1.0]",BAL
NYG @ DAL,6.88,3.0,"[-3.0, -5.5]",
CLE @ PHI,-11.76,16.0,"[15.5, 13.5]",
