TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,9.0%,13,5.1%,14,8-5,16.2%,6,4.9%,15,-2.3%,26
ATL,11.1%,9,14.1%,9,8-5,19.0%,4,10.7%,21,2.8%,7
BAL,32.1%,2,33.3%,2,9-4,4.3%,17,-29.6%,1,-1.8%,24
BUF,-14.3%,25,-19.6%,26,6-7,-7.2%,24,12.5%,24,5.4%,3
CAR,18.3%,7,21.8%,5,10-3,14.6%,8,-2.2%,10,1.5%,11
CHI,4.6%,16,0.4%,17,7-6,-1.8%,21,-5.4%,8,1.0%,16
CIN,-32.6%,29,-32.2%,30,1-11-1,-19.6%,30,11.0%,22,-1.9%,25
CLE,-12.6%,24,-11.8%,24,4-9,-8.6%,26,8.4%,19,4.5%,5
DAL,0.4%,17,-5.0%,20,8-5,8.0%,15,2.6%,13,-5.0%,30
DEN,-3.9%,20,-7.2%,22,8-5,21.2%,3,20.4%,30,-4.7%,29
DET,-48.0%,32,-47.2%,31,0-13,-19.6%,29,28.6%,32,0.2%,18
GB,13.1%,8,13.3%,10,5-8,12.0%,11,0.1%,11,1.2%,13
HOU,-7.0%,22,-3.6%,19,6-7,9.9%,13,19.2%,29,2.3%,8
IND,12.8%,11,15.0%,8,9-4,16.9%,5,2.8%,14,-1.4%,23
JAC,-9.8%,23,-10.9%,23,4-9,3.6%,19,13.3%,25,-0.1%,20
KC,-30.8%,30,-24.5%,28,2-11,-7.8%,25,18.7%,28,-4.3%,27
MIA,5.3%,18,8.5%,12,8-5,14.6%,9,2.4%,12,-6.8%,31
MIN,4.4%,15,3.6%,15,8-5,-6.4%,23,-19.7%,4,-9.0%,32
NE,-6.1%,21,-6.4%,21,8-5,7.9%,16,16.3%,27,2.3%,9
NO,14.6%,10,17.4%,7,7-6,22.3%,2,9.2%,20,1.5%,12
NYG,35.7%,1,35.3%,1,11-2,24.0%,1,-8.6%,7,3.1%,6
NYJ,3.2%,14,3.2%,16,8-5,3.7%,18,5.1%,16,4.6%,4
OAK,-25.4%,27,-26.2%,29,3-10,-24.1%,31,7.1%,17,5.9%,1
PHI,32.0%,3,33.3%,3,7-5-1,12.1%,10,-19.0%,5,1.0%,15
PIT,22.4%,5,21.8%,6,10-3,-2.8%,22,-25.3%,2,0.0%,19
SD,3.5%,19,0.3%,18,5-8,15.2%,7,11.5%,23,-0.2%,21
SEA,-23.2%,28,-17.8%,25,2-11,-9.9%,27,15.5%,26,2.2%,10
SF,-18.5%,26,-19.8%,27,5-8,-16.6%,28,7.5%,18,5.6%,2
STL,-50.2%,31,-47.3%,32,2-11,-24.8%,32,25.0%,31,-0.5%,22
TB,16.8%,6,12.6%,11,9-4,1.1%,20,-15.0%,6,0.6%,17
TEN,30.7%,4,33.1%,4,12-1,9.7%,14,-19.9%,3,1.2%,14
WAS,9.2%,12,5.6%,13,7-6,11.2%,12,-2.6%,9,-4.7%,28
