TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-36.6%,31,-31.4%,31,1-6,-39.9%,31,-4.8%,11,-1.5%,21
ATL,-11.6%,24,-8.3%,23,3-4,9.2%,10,20.7%,31,-0.1%,14
BAL,21.2%,4,18.0%,3,4-3,7.5%,12,-14.0%,3,-0.3%,15
BUF,-43.5%,32,-39.4%,32,2-5,-53.2%,32,-11.1%,6,-1.4%,20
CAR,11.9%,11,8.0%,11,4-2,11.3%,9,2.5%,20,3.1%,7
CHI,17.9%,3,9.5%,9,3-3,5.3%,13,-15.8%,1,-3.2%,25
CIN,-8.3%,12,-7.7%,22,4-3,2.2%,16,9.6%,27,-0.9%,17
CLE,-16.0%,28,-13.4%,27,2-4-1,-25.1%,30,-14.5%,2,-5.4%,31
DAL,-4.7%,20,-2.1%,17,3-4,-8.1%,24,-2.8%,12,0.7%,12
DEN,18.7%,13,13.8%,7,3-4,11.9%,7,-7.9%,8,-1.1%,18
DET,-18.5%,30,-13.0%,26,3-3,3.1%,15,18.2%,30,-3.5%,27
GB,3.2%,14,5.6%,13,3-2-1,12.4%,6,5.1%,24,-4.1%,29
HOU,5.2%,18,4.5%,14,4-3,-12.4%,25,-12.7%,5,5.0%,4
IND,4.5%,19,3.5%,15,2-5,-0.5%,19,-1.6%,14,3.4%,6
JAX,-3.9%,15,-4.4%,20,3-4,-15.9%,27,-10.7%,7,1.3%,10
KC,39.4%,1,31.1%,2,6-1,35.6%,1,8.6%,26,12.4%,1
LAC,21.9%,5,17.6%,4,5-2,28.1%,3,0.4%,17,-5.9%,32
LAR,38.4%,2,33.5%,1,7-0,31.9%,2,-5.7%,10,0.8%,11
MIA,11.1%,6,7.2%,12,4-3,4.4%,14,-1.5%,15,5.2%,3
MIN,0.2%,21,2.8%,16,4-2-1,1.1%,17,-1.1%,16,-1.9%,22
NE,13.4%,9,14.9%,6,5-2,14.3%,5,1.0%,18,0.1%,13
NO,14.4%,7,15.3%,5,5-1,21.2%,4,8.2%,25,1.5%,9
NYG,-11.7%,23,-12.0%,25,1-6,-0.3%,18,10.7%,28,-0.7%,16
NYJ,-5.5%,16,-6.8%,21,3-4,-21.3%,29,-7.4%,9,8.4%,2
OAK,-21.9%,29,-16.8%,29,1-5,-4.0%,21,14.4%,29,-3.5%,28
PHI,-6.8%,17,-3.1%,19,3-4,-6.6%,23,-1.7%,13,-2.0%,23
PIT,7.0%,10,10.8%,8,3-2-1,11.5%,8,1.7%,19,-2.8%,24
SEA,11.7%,8,9.3%,10,3-3,-0.6%,20,-13.5%,4,-1.2%,19
SF,-22.9%,27,-21.8%,30,1-6,-15.0%,26,3.8%,23,-4.2%,30
TB,-17.7%,26,-14.2%,28,3-3,8.3%,11,22.6%,32,-3.4%,26
TEN,-14.2%,25,-11.3%,24,3-4,-16.4%,28,2.6%,21,4.8%,5
WAS,-4.5%,22,-3.1%,18,4-2,-4.0%,22,2.9%,22,2.5%,8
