Game,EGO,Spread,Spread Target,Pick
MIA @ HOU,-1.63,7.5,"[5.5, 3.0]",
BAL @ CAR,-0.01,-2.5,"[-1.5, -3.5]",CAR
CLE @ PIT,-7.43,8.5,"[11.0, 9.0]",
DEN @ KC,-5.96,8.5,"[9.5, 7.5]",DEN
NYJ @ CHI,-5.75,8.5,"[9.5, 7.0]",NYJ
SEA @ DET,2.75,3.0,"[1.0, -1.0]",
TB @ CIN,-3.64,3.5,"[7.5, 5.0]",
WAS @ NYG,-0.26,-1.0,"[-1.0, -3.5]",NYG
IND @ OAK,2.3,-3.5,"[-4.0, -6.0]",
GB @ LAR,-8.2,7.5,"[6.5, 4.5]",
SF @ ARI,-0.1,-2.5,"[-1.5, -3.5]",ARI
NO @ MIN,0.54,-2.5,"[-2.0, -4.0]",MIN
PHI @ JAX,-1.94,-3.5,"[0.5, -2.0]",
NE @ BUF,10.21,-13.5,"[-11.5, -14.0]",BUF
