Game,EGO,Spread,Spread Target,Pick
CIN @ PHI,5.72,-5.0,"[-2.0, -4.0]",
MIN @ STL,-2.77,2.5,"[1.5, -1.0]",
DEN @ BAL,4.07,-3.0,"[-0.5, -2.5]",
IND @ HOU,-9.19,10.5,"[13.0, 10.5]",IND
GB @ CHI,-3.29,-3.0,"[2.0, -0.5]",
JAC @ MIA,-7.47,7.5,"[11.0, 9.0]",
NYG @ ATL,2.5,0.0,"[1.0, -1.0]",NYG
TB @ NO,-0.59,3.5,"[4.5, 2.0]",TB
WAS @ CLE,1.26,4.0,"[2.5, 0.0]",
CAR @ SD,-0.95,3.0,"[4.5, 2.5]",CAR
DET @ ARI,3.82,-6.5,"[-5.5, -7.5]",ARI
SEA @ BUF,8.2,-5.0,"[-4.5, -6.5]",SEA
KC @ OAK,-3.07,4.5,"[7.0, 4.5]",KC
PIT @ DAL,-1.04,-2.5,"[-0.5, -2.5]",DAL
SF @ NE,-4.83,5.0,"[8.5, 6.5]",
NYJ @ TEN,1.39,1.0,"[2.5, 0.0]",NYJ
