TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-18.5%,24,-24.6%,28,4-9,-31.2%,32,-13.6%,6,-0.9%,18
ATL,5.2%,10,0.6%,14,11-2,4.1%,13,-0.7%,13,0.5%,14
BAL,12.0%,9,9.8%,10,9-4,3.7%,16,2.0%,19,10.3%,1
BUF,-6.5%,22,-2.0%,17,5-8,-2.8%,17,7.5%,26,3.9%,6
CAR,-1.6%,18,-1.4%,16,4-9,5.5%,11,0.7%,16,-6.5%,32
CHI,20.6%,6,21.1%,6,8-5,-12.8%,26,-27.8%,1,5.7%,5
CIN,4.7%,12,13.2%,9,7-6,3.9%,14,2.7%,20,3.5%,8
CLE,-10.3%,26,-6.5%,20,5-8,-15.5%,28,1.2%,17,6.3%,4
DAL,-2.1%,16,-3.3%,18,7-6,3.7%,15,4.2%,22,-1.6%,24
DEN,35.5%,2,37.9%,3,10-3,18.5%,3,-14.5%,5,2.4%,10
DET,2.3%,14,2.4%,12,4-9,12.8%,7,5.9%,24,-4.5%,28
GB,21.9%,5,16.2%,7,9-4,15.5%,4,-5.3%,9,1.1%,11
HOU,15.1%,7,13.6%,8,11-2,4.8%,12,-16.6%,3,-6.3%,31
IND,-20.1%,28,-19.0%,26,9-4,-3.7%,19,15.4%,30,-1.0%,20
JAC,-34.8%,30,-32.7%,31,2-11,-20.9%,30,13.1%,28,-0.9%,19
KC,-39.7%,32,-35.6%,32,2-11,-23.0%,31,13.7%,29,-3.1%,25
MIA,-5.9%,21,-8.3%,23,5-8,-9.8%,25,-2.9%,12,1.0%,12
MIN,-5.1%,19,-8.8%,24,7-6,-3.5%,18,5.1%,23,3.6%,7
NE,41.8%,1,45.8%,1,10-3,35.7%,1,0.3%,14,6.5%,3
NO,-8.1%,17,-7.0%,21,5-8,8.1%,9,15.7%,31,-0.4%,17
NYG,20.3%,8,21.8%,5,8-5,13.4%,6,-3.5%,10,3.4%,9
NYJ,-8.9%,25,-10.8%,25,6-7,-15.4%,27,-6.5%,8,0.1%,16
OAK,-31.9%,31,-31.7%,30,3-10,-8.1%,21,18.0%,32,-5.8%,30
PHI,-18.2%,27,-22.1%,27,4-9,-9.8%,24,7.2%,25,-1.2%,21
PIT,-0.5%,15,2.1%,13,7-6,-4.0%,20,-3.1%,11,0.5%,15
SD,-8.2%,23,-7.2%,22,5-8,-8.4%,22,0.6%,15,0.9%,13
SEA,38.8%,4,43.9%,2,8-5,15.4%,5,-16.7%,2,6.6%,2
SF,34.8%,3,33.8%,4,9-3-1,20.1%,2,-15.9%,4,-1.2%,22
STL,-5.3%,20,-6.3%,19,6-6-1,-8.7%,23,-6.6%,7,-3.2%,26
TB,1.1%,13,0.4%,15,6-7,7.4%,10,1.3%,18,-5.0%,29
TEN,-29.1%,29,-27.1%,29,4-9,-17.9%,29,9.7%,27,-1.4%,23
WAS,5.3%,11,9.2%,11,7-6,12.2%,8,3.3%,21,-3.5%,27
