Game,EGO,Spread,Spread Target,Pick
NYJ @ NE,-8.2,9.5,"[12.0, 9.5]",NYJ
MIA @ CHI,-3.53,3.0,"[2.0, -0.0]",
SEA @ STL,6.6,-7.0,"[-8.0, -10.5]",
ATL @ BAL,-5.81,6.5,"[9.5, 7.5]",
CAR @ GB,-7.83,6.5,"[6.5, 4.0]",GB
CIN @ IND,-0.35,3.5,"[4.0, 2.0]",CIN
CLE @ JAC,7.0,-4.0,"[-3.5, -5.5]",CLE
MIN @ BUF,-7.66,6.5,"[6.0, 4.0]",
NO @ DET,-5.24,1.5,"[3.5, 1.5]",DET
TEN @ WAS,-4.01,6.0,"[7.5, 5.5]",TEN
KC @ SD,-4.31,3.0,"[3.0, 0.5]",SD
ARI @ OAK,2.68,-3.5,"[-4.0, -6.5]",
NYG @ DAL,-4.62,5.5,"[8.5, 6.0]",
SF @ DEN,-8.22,6.5,"[6.5, 4.5]",DEN
HOU @ PIT,-4.21,3.0,"[2.5, 0.5]",
