TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-29.5%,31,-27.8%,31,2-7,-38.2%,31,-9.3%,6,-0.6%,19
ATL,-8.7%,19,-7.9%,20,4-5,14.2%,6,23.3%,32,0.5%,13
BAL,14.5%,10,13.9%,7,4-5,4.6%,12,-9.5%,5,0.4%,15
BUF,-27.9%,32,-25.0%,29,3-7,-43.4%,32,-15.5%,2,0.0%,17
CAR,9.4%,3,10.3%,12,6-3,12.7%,7,5.8%,24,2.4%,9
CHI,22.9%,4,22.6%,5,6-3,7.9%,10,-20.1%,1,-5.1%,31
CIN,-7.1%,17,-10.2%,22,5-4,-0.7%,16,6.5%,26,0.1%,16
CLE,-15.2%,28,-14.8%,25,3-6-1,-18.1%,29,-8.0%,8,-5.1%,30
DAL,-12.2%,24,-12.9%,24,4-5,-9.0%,26,1.4%,19,-1.9%,22
DEN,11.6%,8,12.6%,9,3-6,4.2%,13,-10.6%,4,-3.2%,27
DET,-26.8%,29,-22.8%,28,3-6,-5.9%,19,18.7%,30,-2.1%,23
GB,11.0%,13,11.4%,10,4-4-1,12.1%,8,-1.3%,14,-2.5%,24
HOU,6.4%,12,6.3%,13,6-3,-8.1%,25,-11.3%,3,3.3%,5
IND,0.9%,15,2.4%,15,4-5,3.4%,14,3.8%,22,1.3%,10
JAX,-5.3%,18,-6.8%,19,3-6,-15.3%,28,-7.1%,9,2.9%,6
KC,43.1%,1,41.7%,1,9-1,40.8%,1,6.5%,25,8.7%,1
LAC,23.4%,5,23.2%,4,7-2,25.1%,3,-5.7%,11,-7.3%,32
LAR,32.1%,2,31.8%,2,9-1,32.3%,2,1.4%,20,1.1%,12
MIA,-6.7%,14,-9.0%,21,5-5,-7.4%,22,3.9%,23,4.7%,3
MIN,3.1%,16,2.5%,14,5-3-1,-2.8%,17,-8.4%,7,-2.5%,25
NE,10.2%,6,10.9%,11,7-3,9.6%,9,-0.6%,16,0.0%,18
NO,18.4%,7,20.8%,6,8-1,22.6%,4,6.7%,27,2.5%,8
NYG,-13.0%,25,-11.6%,23,2-7,-6.8%,21,6.7%,28,0.5%,14
NYJ,-19.8%,23,-22.0%,27,3-7,-28.7%,30,-3.3%,13,5.6%,2
OAK,-28.9%,30,-31.3%,32,1-8,-7.6%,23,17.3%,29,-3.9%,28
PHI,-5.4%,20,-5.4%,17,4-5,-4.1%,18,0.2%,17,-1.1%,21
PIT,21.1%,11,23.5%,3,6-2-1,20.8%,5,-1.1%,15,-0.8%,20
SEA,11.8%,9,12.9%,8,4-5,4.7%,11,-5.9%,10,1.3%,11
SF,-16.8%,26,-16.2%,26,2-8,-13.3%,27,0.6%,18,-3.0%,26
TB,-23.2%,27,-25.7%,30,3-6,-0.4%,15,18.9%,31,-4.0%,29
TEN,-1.2%,22,1.3%,16,5-4,-8.0%,24,-4.2%,12,2.6%,7
WAS,-5.7%,21,-5.6%,18,6-3,-6.2%,20,2.9%,21,3.3%,4
