Game,EGO,Spread,Spread Target,Pick
DEN @ KC,-3.29,2.5,"[2.0, -0.5]",
BUF @ MIA,3.47,-2.5,"[0.0, -2.0]",
CLE @ PIT,-9.19,9.5,"[13.0, 10.5]",
MIN @ GB,-2.62,6.0,"[6.5, 4.0]",MIN
STL @ NO,-10.01,10.5,"[13.5, 11.5]",
ATL @ CAR,-3.4,4.0,"[7.0, 5.0]",
JAC @ TEN,-4.64,3.5,"[3.0, 1.0]",
PHI @ WAS,-1.67,2.5,"[5.5, 3.0]",
CIN @ BAL,-1.43,3.0,"[5.0, 3.0]",CIN
CHI @ OAK,0.7,-3.5,"[-2.0, -4.5]",OAK
DAL @ NYG,6.07,-1.5,"[-2.5, -4.5]",
DET @ ARI,-1.37,2.0,"[5.0, 3.0]",
IND @ SD,8.58,-3.5,"[-5.0, -7.0]",
SF @ SEA,-14.94,9.0,"[13.5, 11.0]",
