Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2010,7.0,43.5,-34,-27.0,-1,0,0,0,ATL,100.0,58.0,35.0,79.0,72.0,68.0,51.0,47.0,59.0,50.0,33.0,67.0,39.0,73.0,57.0,50.0,1,0,0,0.0,38.0,67.0,50.0,21.0,16.0,44.0,48.0,33.0,49.0,55.0,58.0,53.0,32.0,22.0,49.0,49.0,65.0,40.0,50.0,50.0,67.0,16.0,48.0,49.0,58.0
ATL,2,2010,-7.0,43.5,34,27.0,1,1,0,0,ARI,0.0,38.0,53.0,32.0,22.0,49.0,49.0,65.0,40.0,50.0,50.0,67.0,16.0,48.0,49.0,58.0,0,0,0,100.0,58.0,67.0,33.0,67.0,39.0,60.0,73.0,48.0,57.0,80.0,50.0,35.0,79.0,72.0,68.0,51.0,47.0,59.0,50.0,33.0,67.0,39.0,73.0,57.0,50.0
BAL,2,2010,-3.0,39.5,-5,-8.0,-1,0,0,0,CIN,100.0,52.0,100.0,22.0,72.0,0.0,82.0,96.0,68.0,100.0,33.0,67.0,12.0,59.0,48.0,100.0,1,0,0,0.0,22.0,83.0,0.0,39.0,28.0,36.0,59.0,55.0,78.0,20.0,45.0,59.0,71.0,6.0,36.0,75.0,0.0,59.0,100.0,0.0,83.0,28.0,59.0,78.0,45.0
BUF,2,2010,13.0,43.0,-27,-14.0,-1,0,0,0,GNB,0.0,40.0,12.0,3.0,71.0,61.0,24.0,40.0,28.0,50.0,50.0,50.0,13.0,53.0,16.0,71.0,1,0,0,100.0,64.0,50.0,100.0,47.0,47.0,0.0,46.0,38.0,30.0,49.0,69.0,59.0,40.0,37.0,13.0,58.0,49.0,46.0,75.0,100.0,50.0,47.0,46.0,30.0,69.0
CAR,2,2010,-4.0,37.5,-13,-17.0,-1,1,0,0,TAM,0.0,24.0,24.0,22.0,29.0,32.0,65.0,54.0,26.0,75.0,17.0,33.0,29.0,59.0,25.0,45.0,0,0,0,100.0,56.0,50.0,0.0,46.0,42.0,45.0,65.0,52.0,30.0,73.0,51.0,65.0,47.0,30.0,55.0,55.0,49.0,41.0,25.0,0.0,50.0,42.0,65.0,30.0,51.0
CHI,2,2010,7.0,41.5,7,14.0,1,0,0,0,DAL,100.0,60.0,76.0,97.0,100.0,84.0,58.0,65.0,100.0,75.0,33.0,33.0,34.0,100.0,84.0,75.0,1,0,0,0.0,38.0,83.0,17.0,57.0,35.0,55.0,71.0,50.0,60.0,71.0,72.0,76.0,64.0,60.0,72.0,51.0,74.0,72.0,75.0,17.0,83.0,35.0,71.0,60.0,72.0
CIN,2,2010,3.0,39.5,5,8.0,1,1,0,0,BAL,0.0,22.0,59.0,71.0,6.0,36.0,75.0,0.0,59.0,100.0,0.0,83.0,28.0,59.0,78.0,45.0,0,0,0,100.0,52.0,67.0,33.0,7.0,12.0,30.0,59.0,28.0,48.0,77.0,100.0,100.0,22.0,72.0,0.0,82.0,96.0,68.0,100.0,33.0,67.0,12.0,59.0,48.0,100.0
CLE,2,2010,-3.0,38.0,-2,-5.0,-1,1,0,0,KAN,0.0,44.0,35.0,70.0,53.0,45.0,51.0,45.0,59.0,75.0,50.0,100.0,35.0,58.0,49.0,70.0,0,0,0,100.0,64.0,83.0,33.0,65.0,49.0,57.0,62.0,33.0,1.0,40.0,39.0,6.0,29.0,31.0,53.0,4.0,68.0,17.0,25.0,33.0,83.0,49.0,62.0,1.0,39.0
DAL,2,2010,-7.0,41.5,-7,-14.0,-1,1,0,0,CHI,0.0,38.0,76.0,64.0,60.0,72.0,51.0,74.0,72.0,75.0,17.0,83.0,35.0,71.0,60.0,72.0,0,0,0,100.0,60.0,33.0,33.0,36.0,34.0,100.0,100.0,69.0,84.0,74.0,75.0,76.0,97.0,100.0,84.0,58.0,65.0,100.0,75.0,33.0,33.0,34.0,100.0,84.0,75.0
DEN,2,2010,-3.5,41.0,17,13.5,1,1,0,0,SEA,0.0,36.0,53.0,80.0,36.0,63.0,37.0,63.0,61.0,100.0,17.0,50.0,29.0,52.0,60.0,71.0,0,0,0,100.0,100.0,83.0,33.0,37.0,24.0,75.0,88.0,69.0,29.0,81.0,57.0,35.0,59.0,72.0,36.0,62.0,100.0,46.0,25.0,33.0,83.0,24.0,88.0,29.0,57.0
