TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-16.2%,27,-15.6%,26,3-5-1,0.9%,16,13.9%,28,-3.2%,28
ATL,-21.9%,28,-21.3%,28,1-7,-0.1%,19,16.0%,30,-5.8%,32
BAL,19.9%,8,18.4%,7,6-2,16.6%,4,0.7%,21,4.0%,3
BUF,-12.6%,25,-12.0%,25,6-2,-12.5%,26,-1.4%,15,-1.4%,24
CAR,2.0%,15,2.3%,15,5-3,-4.5%,21,-5.7%,9,0.8%,12
CHI,-3.3%,19,-4.2%,21,3-5,-14.6%,27,-6.9%,8,4.4%,2
CIN,-38.7%,31,-39.2%,30,0-8,-23.4%,29,19.8%,31,4.5%,1
CLE,-12.1%,23,-11.0%,24,2-6,-11.9%,25,3.7%,22,3.6%,4
DAL,26.0%,4,25.9%,4,5-3,26.7%,1,-0.8%,17,-1.6%,25
DEN,-5.3%,21,-4.4%,22,3-6,-9.4%,23,-8.8%,3,-4.8%,31
DET,1.5%,14,1.7%,17,3-4-1,4.0%,13,5.6%,24,3.1%,6
GB,13.7%,6,14.2%,8,7-2,14.5%,6,0.4%,20,-0.4%,20
HOU,9.9%,13,9.8%,11,6-3,6.2%,11,-1.5%,14,2.2%,7
IND,5.5%,16,6.5%,12,5-3,6.9%,10,-0.5%,18,-1.9%,26
JAX,3.7%,11,3.8%,14,4-5,1.0%,15,-1.8%,13,0.9%,11
KC,29.7%,3,29.5%,3,6-3,23.6%,2,-4.2%,11,2.0%,8
LAC,-1.0%,22,-1.0%,19,4-5,7.2%,9,7.3%,26,-0.9%,22
LAR,9.4%,10,10.0%,10,5-3,0.5%,18,-8.8%,4,0.1%,16
MIA,-60.2%,32,-58.6%,32,1-7,-26.8%,31,31.0%,32,-2.3%,27
MIN,21.5%,5,21.5%,6,6-3,13.5%,7,-7.7%,7,0.3%,15
NE,36.0%,2,34.7%,2,8-1,2.1%,14,-33.9%,1,0.0%,17
NO,22.2%,7,22.5%,5,7-1,13.1%,8,-8.5%,6,0.6%,14
NYG,-19.6%,26,-19.1%,27,2-7,-11.8%,24,6.5%,25,-1.3%,23
NYJ,-40.9%,30,-41.8%,31,1-7,-44.6%,32,-0.4%,19,3.4%,5
OAK,3.2%,17,2.2%,16,4-4,16.2%,5,14.4%,29,1.5%,9
PHI,5.2%,12,5.4%,13,5-4,0.9%,17,-4.8%,10,-0.6%,21
PIT,-5.1%,20,-3.7%,20,4-4,-15.1%,28,-8.8%,5,1.2%,10
SEA,10.1%,9,10.7%,9,7-2,20.9%,3,7.4%,27,-3.5%,29
SF,36.8%,1,36.1%,1,8-0,5.5%,12,-31.4%,2,-0.1%,18
TB,-0.8%,18,-0.9%,18,2-6,-2.4%,20,-0.9%,16,0.7%,13
TEN,-8.6%,24,-10.2%,23,4-5,-8.9%,22,-4.0%,12,-3.7%,30
WAS,-29.2%,29,-30.3%,29,1-8,-24.9%,30,4.0%,23,-0.4%,19
