Game,EGO,Spread,Spread Target,Pick
LAC @ OAK,-2.92,-1.0,"[1.5, -1.0]",OAK
ARI @ TB,-5.41,5.5,"[9.0, 7.0]",
ATL @ NO,-11.49,14.0,"[15.0, 13.0]",ATL
BAL @ CIN,11.0,-10.5,"[-7.5, -9.5]",
BUF @ CLE,-2.44,3.0,"[6.0, 4.0]",
DET @ CHI,-0.93,6.0,"[4.5, 2.5]",
KC @ TEN,6.74,-5.0,"[-3.0, -5.0]",KC
NYG @ NYJ,2.84,-3.0,"[1.0, -1.5]",
MIA @ IND,-15.73,11.0,"[14.0, 12.0]",
CAR @ GB,-4.81,5.0,"[8.5, 6.5]",
LAR @ PIT,0.81,-4.0,"[-2.5, -4.5]",PIT
MIN @ DAL,-3.18,3.5,"[7.0, 4.5]",
SEA @ SF,-7.68,6.5,"[6.0, 4.0]",
