TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-38.9%,31,-38.0%,31,3-6,-32.5%,31,10.0%,24,3.6%,6
ATL,13.0%,10,11.1%,11,7-2,16.5%,6,3.4%,18,0.0%,18
BAL,16.5%,11,18.4%,7,6-3,13.5%,11,-0.5%,13,2.4%,11
BUF,-23.9%,30,-23.0%,29,1-8,-2.9%,22,23.8%,31,2.8%,8
CAR,-46.1%,32,-46.0%,32,1-8,-41.4%,32,5.0%,22,0.2%,15
CHI,-12.4%,26,-13.6%,25,6-3,-26.0%,30,-7.2%,6,6.4%,2
CIN,-3.8%,18,-4.0%,19,2-7,0.4%,21,1.4%,16,-2.8%,27
CLE,7.3%,14,8.9%,13,3-6,6.1%,17,3.2%,17,4.3%,5
DAL,-17.2%,27,-18.2%,28,2-7,0.8%,20,16.3%,27,-1.7%,26
DEN,-11.8%,28,-11.3%,23,3-6,14.2%,8,22.3%,30,-3.8%,28
DET,-8.9%,19,-8.8%,20,2-7,-8.6%,26,3.8%,19,3.4%,7
GB,22.9%,6,21.1%,6,6-3,16.2%,7,-10.9%,5,-4.3%,30
HOU,-1.0%,16,-2.0%,17,4-5,30.0%,3,31.0%,32,0.0%,17
IND,16.0%,9,16.4%,9,6-3,18.2%,5,-1.9%,11,-4.0%,29
JAC,-9.3%,24,-9.0%,21,5-4,6.6%,15,21.4%,29,5.5%,3
KC,6.4%,5,4.5%,15,5-4,7.9%,13,0.0%,14,-1.5%,23
MIA,12.7%,15,13.6%,10,5-4,14.2%,9,1.3%,15,-0.3%,20
MIN,-14.6%,21,-14.0%,26,3-6,-8.1%,25,4.9%,21,-1.6%,24
NE,23.6%,8,23.6%,3,7-2,37.4%,1,16.5%,28,2.7%,10
NO,7.8%,13,8.2%,14,6-3,4.0%,19,-4.9%,7,-1.0%,21
NYG,21.4%,1,23.4%,5,6-3,13.9%,10,-13.7%,2,-6.2%,31
NYJ,11.9%,12,9.6%,12,7-2,6.4%,16,-2.8%,9,2.8%,9
OAK,-6.1%,20,-2.7%,18,5-4,-8.7%,27,-2.4%,10,0.2%,14
PHI,34.4%,2,35.7%,1,6-3,33.3%,2,-2.8%,8,-1.6%,25
PIT,24.8%,4,23.5%,4,6-3,10.1%,12,-13.1%,3,1.6%,12
SD,17.2%,7,17.7%,8,4-5,21.4%,4,-11.3%,4,-15.5%,32
SEA,-22.1%,29,-25.1%,30,5-4,-17.3%,29,11.8%,25,7.0%,1
SF,-1.5%,17,1.2%,16,3-6,-3.2%,23,-1.7%,12,0.1%,16
STL,-18.5%,25,-17.3%,27,4-5,-13.0%,28,4.1%,20,-1.3%,22
TB,-7.9%,23,-9.3%,22,6-3,4.8%,18,12.6%,26,-0.2%,19
TEN,26.6%,3,28.0%,2,5-4,7.1%,14,-14.8%,1,4.8%,4
WAS,-13.9%,22,-13.4%,24,4-5,-5.5%,24,9.6%,23,1.2%,13
