TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,16.6%,6,16.9%,8,4-3,18.5%,6,1.9%,15,0.0%,21
ATL,3.9%,14,3.9%,16,4-3,16.1%,9,15.6%,26,3.3%,5
BAL,23.3%,7,22.9%,4,4-3,-0.8%,19,-24.0%,2,0.2%,20
BUF,7.1%,11,6.9%,15,5-2,5.1%,17,1.1%,14,3.1%,6
CAR,13.7%,12,13.8%,10,6-2,8.9%,13,-4.9%,10,-0.1%,22
CHI,14.3%,9,14.2%,9,4-3,5.8%,15,-6.7%,9,1.9%,9
CIN,-45.5%,30,-45.8%,31,0-8,-25.7%,31,17.1%,27,-2.7%,26
CLE,-14.7%,25,-14.2%,25,3-4,-8.9%,26,9.9%,18,4.1%,3
DAL,-5.2%,19,-6.0%,20,5-3,12.7%,10,10.2%,19,-7.7%,30
DEN,-8.2%,23,-8.2%,23,4-3,18.0%,7,23.9%,30,-2.3%,25
DET,-41.8%,31,-41.3%,30,0-7,-15.9%,28,27.7%,32,1.7%,11
GB,13.4%,10,13.7%,11,4-3,5.6%,16,-6.7%,8,1.1%,14
HOU,-9.4%,27,-8.7%,24,3-4,9.5%,12,23.9%,31,4.9%,2
IND,7.0%,16,7.4%,13,3-4,10.4%,11,2.7%,16,-0.7%,24
JAC,-3.9%,21,-4.0%,19,3-4,8.6%,14,13.0%,23,0.4%,17
KC,-53.1%,32,-53.1%,32,1-6,-25.7%,32,23.3%,29,-4.0%,29
MIA,13.3%,13,13.6%,12,3-4,20.8%,2,-1.4%,12,-8.9%,31
MIN,-2.7%,20,-3.0%,18,3-4,-4.6%,23,-16.9%,6,-15.0%,32
NE,-8.4%,22,-8.1%,22,5-2,-3.5%,22,10.7%,21,5.9%,1
NO,7.1%,15,7.2%,14,4-4,20.4%,3,13.8%,24,0.5%,16
NYG,37.2%,1,37.2%,2,6-1,27.2%,1,-6.9%,7,3.0%,8
NYJ,-6.1%,18,-6.3%,21,4-3,-3.0%,21,4.7%,17,1.6%,12
OAK,-25.4%,26,-25.8%,28,2-5,-18.4%,30,10.3%,20,3.3%,4
PHI,38.6%,2,38.6%,1,4-3,18.5%,5,-18.5%,5,1.5%,13
PIT,17.6%,4,17.6%,7,5-2,-6.2%,24,-23.4%,4,0.4%,18
SD,2.9%,17,2.7%,17,3-5,16.3%,8,15.3%,25,1.9%,10
SEA,-19.0%,28,-19.2%,27,2-5,-7.5%,25,12.5%,22,1.0%,15
SF,-16.4%,24,-16.7%,26,2-6,-18.4%,29,1.0%,13,3.1%,7
STL,-32.2%,29,-31.3%,29,2-5,-12.9%,27,19.6%,28,0.3%,19
TB,20.3%,8,20.1%,6,5-3,-2.4%,20,-26.6%,1,-3.9%,28
TEN,27.8%,3,27.6%,3,7-0,4.4%,18,-23.9%,3,-0.5%,23
WAS,20.5%,5,20.4%,5,6-2,19.9%,4,-3.3%,11,-2.7%,27
