TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-26.3%,22,-23.7%,31,1-4,-10.5%,30,17.3%,27,1.5%,12
ATL,2.9%,16,4.5%,15,2-3,6.4%,17,3.9%,14,0.4%,16
BAL,23.3%,5,19.1%,6,3-1,-2.5%,23,-30.6%,1,-4.8%,30
BUF,33.4%,1,23.3%,2,4-1,34.7%,2,2.4%,13,1.1%,13
CAR,-11.3%,26,-11.9%,26,1-4,18.3%,6,19.8%,31,-9.8%,32
CHI,-13.6%,23,-8.2%,24,2-3,-9.1%,28,14.2%,23,9.8%,3
CIN,8.2%,14,2.9%,17,3-2,-0.7%,20,-8.6%,4,0.3%,17
CLE,-9.0%,21,-6.1%,21,2-2,-7.6%,27,7.2%,17,5.8%,6
DAL,3.8%,17,-0.4%,20,2-2,2.1%,19,-5.5%,7,-3.8%,29
DEN,-8.5%,25,-10.1%,25,1-4,-2.3%,22,10.2%,21,4.0%,7
DET,13.1%,9,8.9%,12,5-0,6.9%,16,-6.9%,6,-0.7%,20
GB,27.1%,4,22.8%,3,5-0,34.6%,3,7.8%,18,0.3%,18
HOU,11.6%,7,10.1%,11,3-2,13.2%,8,4.7%,16,3.1%,8
IND,-24.2%,29,-20.7%,29,0-5,-2.8%,24,14.5%,24,-6.9%,31
JAC,-32.1%,31,-23.3%,30,1-4,-28.9%,32,0.1%,12,-3.1%,28
KC,-20.0%,30,-17.5%,27,2-3,-4.5%,26,16.1%,25,0.6%,14
MIA,-16.9%,27,-6.5%,22,0-4,8.1%,13,22.3%,32,-2.6%,26
MIN,15.2%,18,10.6%,10,1-4,7.4%,15,-1.4%,9,6.4%,4
NE,27.0%,3,27.6%,1,4-1,44.1%,1,19.2%,29,2.1%,10
NO,18.3%,8,16.2%,8,4-1,26.8%,4,10.7%,22,2.2%,9
NYG,14.2%,6,12.5%,9,3-2,13.2%,9,-1.9%,8,-0.8%,21
NYJ,19.4%,10,19.0%,7,2-3,-3.7%,25,-9.3%,3,13.8%,1
OAK,15.9%,12,7.8%,13,3-2,24.9%,5,9.6%,20,0.5%,15
PHI,-7.6%,24,0.8%,18,1-4,11.0%,11,16.9%,26,-1.7%,22
PIT,15.6%,19,20.7%,4,3-2,12.6%,10,-1.0%,10,2.1%,11
SD,-3.5%,20,3.3%,16,4-1,8.2%,12,9.1%,19,-2.6%,25
SEA,-17.0%,28,-18.3%,28,2-3,-10.2%,29,4.1%,15,-2.8%,27
SF,30.3%,11,20.3%,5,4-1,7.8%,14,-10.0%,2,12.5%,2
STL,-40.8%,32,-29.9%,32,0-4,-20.1%,31,18.7%,28,-2.1%,23
TB,-7.5%,13,-7.5%,23,3-2,6.4%,18,19.7%,30,5.9%,5
TEN,16.5%,2,6.7%,14,3-2,18.0%,7,-0.8%,11,-2.3%,24
WAS,7.1%,15,-0.1%,19,3-1,-0.8%,21,-8.2%,5,-0.3%,19
