Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+4.5 / -4.5,CIN,TEN,-,+4.5 / -4.5
+10.5 / -10.5,CLE,DET,-,+10.5 / -10.5
+3.5 / -3.5,DAL,ATL,-,+3.5 / -3.5
+4.5 / -4.5,GNB,CHI,-,+4.5 / -4.5
+12.0 / -12.0,HOU,LAR,-,+12.0 / -12.0
+5.0 / -5.0,LAC,JAX,-,+5.0 / -5.0
+8.0 / -8.0,MIA,CAR,-,+8.0 / -8.0
-1.0 / 1.0,MIN,WAS,-,-1.0 / 1.0
-2.0 / 2.0,NOR,BUF,-,-2.0 / 2.0
-7.0 / 7.0,NWE,DEN,-,-7.0 / 7.0
-3.0 / 3.0,NYG,SFO,-,-3.0 / 3.0
+1.0 / -1.0,NYJ,TAM,-,+1.0 / -1.0
-10.5 / 10.5,PIT,IND,-,-10.5 / 10.5
-6.0 / 6.0,SEA,ARI,-,-6.0 / 6.0
