TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-25.2%,28,-23.9%,27,4-4,-15.0%,27,0.1%,19,-10.0%,31
ATL,-2.2%,21,-3.1%,19,4-4,12.5%,8,14.4%,29,-0.2%,18
BAL,10.5%,12,9.1%,13,4-5,-13.0%,24,-16.7%,2,6.8%,3
BUF,1.5%,10,-0.3%,18,5-3,-6.9%,21,-3.1%,16,5.2%,6
CAR,8.0%,16,7.5%,14,6-3,-8.8%,22,-12.9%,5,3.9%,9
CHI,-23.2%,27,-23.4%,26,3-5,-21.8%,31,-6.7%,13,-8.2%,29
CIN,-8.8%,23,-6.8%,21,3-5,-13.9%,26,-6.0%,14,-0.9%,20
CLE,-33.4%,30,-32.9%,32,0-8,-27.4%,32,0.1%,18,-5.9%,27
DAL,14.7%,9,15.0%,7,5-3,18.6%,4,8.4%,23,4.6%,7
DEN,-8.7%,18,-9.2%,23,3-5,-13.8%,25,-12.3%,6,-7.2%,28
DET,10.2%,13,9.4%,12,4-4,-4.7%,20,-7.6%,11,7.3%,2
GB,7.4%,17,6.1%,15,4-4,9.5%,10,2.5%,20,0.3%,16
HOU,9.4%,8,9.8%,11,3-5,5.3%,13,-5.7%,15,-1.6%,22
IND,-28.7%,32,-26.3%,28,3-6,-20.6%,29,11.9%,27,3.8%,10
JAC,24.9%,7,24.0%,5,5-3,7.0%,12,-22.7%,1,-4.8%,26
KC,15.2%,4,12.9%,9,6-3,20.2%,2,11.6%,26,6.6%,4
LACH,-7.6%,22,-7.6%,22,3-5,0.7%,17,-1.8%,17,-10.1%,32
LARM,33.0%,2,32.2%,1,6-2,10.6%,9,-14.8%,3,7.6%,1
MIA,-28.9%,31,-29.0%,31,4-4,-18.2%,28,10.5%,24,-0.2%,19
MIN,19.2%,6,18.8%,6,6-2,9.5%,11,-8.4%,9,1.3%,14
NE,8.2%,15,10.3%,10,6-2,25.9%,1,21.3%,31,3.6%,11
NO,23.8%,5,24.8%,4,6-2,19.3%,3,-9.1%,8,-4.6%,24
NYG,-26.2%,25,-26.4%,29,1-7,-4.3%,19,12.7%,28,-9.1%,30
NYJ,-15.8%,26,-14.5%,24,4-5,-12.1%,23,4.2%,21,0.5%,15
OAK,-3.9%,19,-3.9%,20,4-5,17.1%,5,23.3%,32,2.3%,13
PHI,29.2%,3,29.2%,3,8-1,16.0%,7,-7.8%,10,5.4%,5
PIT,29.3%,1,29.7%,2,6-2,16.5%,6,-14.3%,4,-1.4%,21
SEA,13.5%,11,14.8%,8,5-3,3.1%,15,-10.6%,7,-0.1%,17
SF,-28.4%,29,-27.6%,30,0-9,-21.0%,30,11.3%,25,4.0%,8
TB,-21.8%,24,-22.5%,25,2-6,0.2%,18,18.2%,30,-3.8%,23
TEN,-0.2%,20,-0.1%,17,5-3,1.3%,16,4.7%,22,3.3%,12
WAS,6.2%,14,6.0%,16,4-4,3.5%,14,-7.4%,12,-4.7%,25
