Game,EGO,Spread,Spread Target,Pick
SEA @ ARI,6.51,-6.0,"[-3.0, -5.0]",
CIN @ TEN,-3.69,4.5,"[7.5, 5.0]",
CLE @ DET,-11.19,10.5,"[9.5, 7.5]",
GB @ CHI,4.39,4.5,"[-0.5, -3.0]",
LACH @ JAC,-8.98,5.0,"[7.5, 5.5]",
MIN @ WAS,0.61,-1.0,"[-2.0, -4.5]",
NO @ BUF,3.38,-2.0,"[0.5, -2.0]",NO
NYJ @ TB,-0.46,1.0,"[4.0, 2.0]",
PIT @ IND,10.62,-10.5,"[-7.0, -9.0]",
HOU @ LARM,-7.05,12.0,"[11.0, 8.5]",
DAL @ ATL,1.8,3.5,"[2.0, -0.5]",
NYG @ SF,-1.96,-3.0,"[0.5, -1.5]",
NE @ DEN,2.12,-7.0,"[-3.5, -6.0]",
MIA @ CAR,-9.99,8.0,"[8.5, 6.5]",CAR
