Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2018,13.5,43.5,-34,-20.5,-1,0,0,0,LAR,0.0,30.0,0.0,28.0,47.0,52.0,0.0,35.0,0.0,60.0,43.0,71.0,20.0,0.0,21.0,51.0,1,0,0,100.0,73.0,86.0,14.0,93.0,71.0,49.0,61.0,58.0,43.0,67.0,36.0,41.0,59.0,39.0,0.0,46.0,37.0,43.0,20.0,14.0,86.0,71.0,61.0,43.0,36.0
ATL,2,2018,-5.5,44.0,7,1.5,1,1,0,0,CAR,0.0,43.0,35.0,35.0,81.0,70.0,27.0,28.0,66.0,40.0,29.0,43.0,24.0,48.0,43.0,86.0,0,0,0,100.0,59.0,57.0,86.0,67.0,76.0,44.0,62.0,47.0,21.0,54.0,81.0,53.0,38.0,74.0,47.0,40.0,89.0,64.0,50.0,86.0,57.0,76.0,62.0,21.0,81.0
BAL,2,2018,1.0,43.0,-11,-10.0,-1,0,1,0,CIN,100.0,100.0,82.0,41.0,100.0,37.0,58.0,98.0,100.0,40.0,86.0,71.0,55.0,69.0,50.0,100.0,1,1,0,100.0,63.0,71.0,29.0,82.0,43.0,73.0,75.0,67.0,44.0,45.0,35.0,35.0,68.0,60.0,52.0,72.0,0.0,38.0,50.0,29.0,71.0,43.0,75.0,44.0,35.0
BUF,2,2018,7.5,41.5,-11,-3.5,-1,1,0,0,LAC,0.0,0.0,18.0,0.0,59.0,63.0,2.0,42.0,0.0,60.0,29.0,14.0,31.0,45.0,0.0,50.0,0,0,0,0.0,39.0,86.0,14.0,100.0,59.0,56.0,53.0,62.0,96.0,21.0,49.0,76.0,80.0,32.0,47.0,28.0,47.0,91.0,70.0,14.0,86.0,59.0,53.0,96.0,49.0
CAR,2,2018,5.5,44.0,-7,-1.5,-1,0,0,0,ATL,100.0,59.0,53.0,38.0,74.0,47.0,40.0,89.0,64.0,50.0,86.0,57.0,76.0,62.0,21.0,81.0,1,0,0,0.0,43.0,43.0,29.0,51.0,24.0,47.0,48.0,29.0,43.0,74.0,86.0,35.0,35.0,81.0,70.0,27.0,28.0,66.0,40.0,29.0,43.0,24.0,48.0,43.0,86.0
CHI,2,2018,-4.5,42.5,7,2.5,1,1,0,0,SEA,0.0,49.0,71.0,32.0,38.0,28.0,55.0,50.0,32.0,40.0,57.0,43.0,70.0,79.0,23.0,36.0,0,0,0,0.0,47.0,14.0,14.0,47.0,17.0,34.0,25.0,54.0,48.0,52.0,30.0,18.0,51.0,33.0,41.0,8.0,60.0,12.0,50.0,14.0,14.0,17.0,25.0,48.0,30.0
CIN,2,2018,-1.0,43.0,11,10.0,1,1,1,0,BAL,100.0,63.0,35.0,68.0,60.0,52.0,72.0,0.0,38.0,50.0,29.0,71.0,43.0,75.0,44.0,35.0,0,1,0,100.0,100.0,71.0,86.0,28.0,55.0,61.0,69.0,70.0,50.0,100.0,100.0,82.0,41.0,100.0,37.0,58.0,98.0,100.0,40.0,86.0,71.0,55.0,69.0,50.0,100.0
CLE,2,2018,10.0,51.0,-3,7.0,1,0,0,0,NOR,50.0,50.0,76.0,22.0,44.0,33.0,29.0,34.0,16.0,0.0,57.0,0.0,97.0,16.0,22.0,33.0,1,0,0,0.0,41.0,86.0,0.0,24.0,3.0,77.0,49.0,81.0,100.0,0.0,4.0,35.0,92.0,0.0,54.0,61.0,6.0,38.0,70.0,0.0,86.0,3.0,49.0,100.0,4.0
DAL,2,2018,-3.0,42.0,7,4.0,1,1,0,0,NYG,0.0,41.0,47.0,26.0,62.0,53.0,11.0,60.0,36.0,50.0,43.0,14.0,38.0,24.0,19.0,79.0,0,0,0,0.0,44.0,71.0,14.0,79.0,52.0,23.0,31.0,36.0,39.0,64.0,73.0,53.0,45.0,60.0,5.0,35.0,65.0,54.0,60.0,14.0,71.0,52.0,31.0,39.0,73.0
DEN,2,2018,-5.5,44.0,1,-4.5,-1,1,0,0,OAK,100.0,53.0,82.0,67.0,49.0,59.0,40.0,92.0,88.0,50.0,86.0,86.0,75.0,83.0,70.0,52.0,0,0,0,0.0,27.0,86.0,14.0,51.0,39.0,7.0,29.0,33.0,64.0,42.0,57.0,59.0,61.0,41.0,100.0,63.0,54.0,57.0,80.0,14.0,86.0,39.0,29.0,64.0,57.0
