Game,EGO,Spread,Spread Target,Pick
IND @ HOU,0.45,-2.5,"[-2.0, -4.0]",HOU
BAL @ TB,7.89,-3.0,"[-4.0, -6.5]",
DEN @ NYJ,9.85,-9.5,"[-6.0, -8.5]",
DET @ MIN,3.38,1.5,"[0.5, -2.0]",
GB @ MIA,4.53,-1.5,"[-1.0, -3.0]",GB
JAC @ TEN,-6.96,4.0,"[5.5, 3.5]",TEN
NE @ BUF,-0.84,1.0,"[4.5, 2.5]",
PIT @ CLE,-0.1,1.5,"[4.0, 1.5]",PIT
CAR @ CIN,-6.28,7.0,"[10.0, 8.0]",
SD @ OAK,7.26,-7.5,"[-3.5, -6.0]",
CHI @ ATL,-4.29,3.5,"[3.0, 0.5]",
WAS @ ARI,-3.71,5.5,"[7.5, 5.0]",WAS
DAL @ SEA,-7.97,9.5,"[11.5, 9.5]",DAL
NYG @ PHI,-2.09,1.5,"[0.5, -1.5]",
SF @ STL,2.57,-3.5,"[-4.0, -6.5]",
