Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2013,2.0,47.5,4,6.0,1,1,0,0,DET,0.0,44.0,59.0,54.0,40.0,58.0,76.0,48.0,56.0,50.0,0.0,33.0,27.0,81.0,58.0,43.0,0,0,0,100.0,69.0,100.0,50.0,45.0,38.0,28.0,65.0,58.0,74.0,74.0,65.0,88.0,64.0,34.0,82.0,56.0,77.0,87.0,30.0,50.0,100.0,38.0,65.0,74.0,65.0
ATL,2,2013,-5.5,47.5,7,1.5,1,1,0,0,STL,0.0,38.0,18.0,74.0,32.0,17.0,36.0,31.0,36.0,60.0,33.0,50.0,28.0,76.0,51.0,31.0,0,0,0,100.0,56.0,100.0,67.0,35.0,19.0,55.0,73.0,61.0,57.0,42.0,42.0,41.0,60.0,46.0,42.0,52.0,24.0,44.0,50.0,67.0,100.0,19.0,73.0,57.0,42.0
BAL,2,2013,-7.0,43.5,8,1.0,1,1,0,0,CLE,0.0,8.0,71.0,36.0,11.0,43.0,52.0,18.0,19.0,50.0,50.0,33.0,16.0,81.0,67.0,0.0,0,0,0,0.0,25.0,0.0,67.0,51.0,11.0,100.0,100.0,12.0,41.0,56.0,56.0,35.0,27.0,70.0,32.0,0.0,24.0,54.0,70.0,67.0,0.0,11.0,100.0,41.0,56.0
BUF,2,2013,3.5,43.5,1,4.5,1,1,0,0,CAR,0.0,46.0,6.0,39.0,59.0,84.0,42.0,15.0,11.0,40.0,50.0,100.0,48.0,43.0,13.0,51.0,0,0,0,0.0,40.0,83.0,33.0,79.0,47.0,66.0,79.0,58.0,4.0,24.0,43.0,47.0,45.0,37.0,4.0,68.0,31.0,19.0,60.0,33.0,83.0,47.0,79.0,4.0,43.0
CAR,2,2013,-3.5,43.5,-1,-4.5,-1,0,0,0,BUF,0.0,40.0,47.0,45.0,37.0,4.0,68.0,31.0,19.0,60.0,33.0,83.0,47.0,79.0,4.0,43.0,1,0,0,0.0,46.0,100.0,50.0,58.0,48.0,30.0,43.0,66.0,13.0,62.0,51.0,6.0,39.0,59.0,84.0,42.0,15.0,11.0,40.0,50.0,100.0,48.0,43.0,13.0,51.0
CHI,2,2013,-6.5,41.0,1,-5.5,-1,1,0,0,MIN,100.0,56.0,59.0,50.0,35.0,28.0,63.0,0.0,45.0,30.0,17.0,100.0,25.0,82.0,40.0,50.0,0,0,0,0.0,31.0,50.0,0.0,72.0,35.0,55.0,62.0,26.0,35.0,42.0,26.0,12.0,66.0,36.0,18.0,23.0,44.0,13.0,70.0,0.0,50.0,35.0,62.0,35.0,26.0
CIN,2,2013,-6.5,40.0,10,3.5,1,1,0,0,PIT,0.0,44.0,41.0,65.0,50.0,72.0,100.0,37.0,55.0,70.0,0.0,83.0,18.0,75.0,50.0,60.0,0,0,0,0.0,37.0,17.0,17.0,22.0,5.0,67.0,62.0,39.0,17.0,64.0,97.0,24.0,20.0,80.0,39.0,42.0,42.0,41.0,70.0,17.0,17.0,5.0,62.0,17.0,97.0
CLE,2,2013,7.0,43.5,-8,-1.0,-1,0,0,0,BAL,0.0,25.0,35.0,27.0,70.0,32.0,0.0,24.0,54.0,70.0,67.0,0.0,11.0,100.0,41.0,56.0,1,0,0,0.0,8.0,33.0,50.0,35.0,16.0,64.0,81.0,32.0,67.0,0.0,0.0,71.0,36.0,11.0,43.0,52.0,18.0,19.0,50.0,50.0,33.0,16.0,81.0,67.0,0.0
DAL,2,2013,3.0,45.0,-1,2.0,1,0,0,0,KAN,100.0,60.0,94.0,35.0,0.0,39.0,46.0,16.0,10.0,0.0,50.0,67.0,28.0,88.0,41.0,5.0,1,0,0,100.0,100.0,83.0,100.0,67.0,42.0,59.0,79.0,55.0,19.0,100.0,100.0,59.0,39.0,100.0,41.0,46.0,66.0,81.0,30.0,100.0,83.0,42.0,79.0,19.0,100.0
DEN,2,2013,-4.0,52.5,18,14.0,1,0,0,0,NYG,100.0,92.0,29.0,89.0,64.0,57.0,82.0,48.0,81.0,50.0,67.0,50.0,19.0,84.0,100.0,33.0,1,0,0,0.0,40.0,50.0,33.0,50.0,12.0,46.0,72.0,63.0,95.0,48.0,59.0,6.0,100.0,65.0,61.0,84.0,54.0,90.0,100.0,33.0,50.0,12.0,72.0,95.0,59.0
DET,2,2013,-2.0,47.5,-4,-6.0,-1,0,0,0,ARI,100.0,69.0,88.0,64.0,34.0,82.0,56.0,77.0,87.0,30.0,50.0,100.0,38.0,65.0,74.0,65.0,1,0,0,0.0,44.0,33.0,0.0,45.0,27.0,65.0,81.0,58.0,58.0,39.0,43.0,59.0,54.0,40.0,58.0,76.0,48.0,56.0,50.0,0.0,33.0,27.0,81.0,58.0,43.0
