Game,EGO,Spread,Spread Target,Pick
IND @ HOU,-1.19,3.5,"[5.0, 2.5]",IND
CAR @ NO,-10.69,10.0,"[9.0, 7.0]",
DEN @ BUF,-0.95,3.5,"[4.5, 2.5]",DEN
DET @ WAS,7.54,-4.0,"[-4.0, -6.0]",DET
MIA @ CLE,-10.84,11.0,"[14.5, 12.5]",
NYG @ CHI,-6.77,6.0,"[5.5, 3.0]",
OAK @ NYJ,3.98,-3.5,"[-0.5, -2.5]",
PIT @ CIN,5.06,-5.5,"[-6.5, -9.0]",
SEA @ PHI,-1.94,-1.0,"[0.5, -2.0]",PHI
TB @ ATL,-2.77,3.5,"[6.5, 4.5]",
JAX @ TEN,-0.99,4.5,"[4.5, 2.5]",JAX
DAL @ NE,-4.29,5.5,"[8.0, 6.0]",
GB @ SF,-4.68,3.0,"[3.0, 1.0]",SF
BAL @ LAR,5.17,-3.5,"[-1.5, -3.5]",BAL
