TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-7.5%,26,-5.6%,22,3-7-1,6.2%,9,11.4%,30,-2.3%,28
ATL,-9.3%,27,-9.1%,25,3-7,1.4%,15,7.7%,25,-3.0%,30
BAL,33.7%,5,33.5%,2,8-2,24.8%,3,-6.2%,10,2.7%,4
BUF,-9.5%,24,-8.7%,24,7-3,-8.4%,23,-1.2%,14,-2.3%,26
CAR,-14.2%,18,-16.0%,27,5-5,-12.5%,25,0.8%,17,-0.9%,22
CHI,-1.8%,17,-2.3%,15,4-6,-13.3%,26,-9.1%,4,2.4%,5
CIN,-37.3%,31,-37.1%,30,0-10,-25.3%,29,17.4%,31,5.3%,1
CLE,-5.4%,25,-4.7%,21,4-6,-7.3%,21,-0.6%,15,1.2%,11
DAL,26.2%,4,26.2%,4,6-4,30.6%,1,2.5%,20,-1.9%,25
DEN,-4.4%,21,-2.9%,16,3-7,-7.8%,22,-6.6%,9,-3.2%,31
DET,1.9%,16,1.2%,13,3-6-1,5.8%,10,8.2%,26,4.3%,2
GB,15.1%,8,13.4%,10,8-2,16.7%,5,2.1%,18,0.5%,14
HOU,-2.0%,10,-3.2%,18,6-4,2.8%,14,6.6%,24,1.9%,8
IND,0.8%,15,1.5%,12,6-4,0.2%,17,-2.4%,13,-1.8%,24
JAX,-1.9%,14,-3.0%,17,4-6,-0.8%,18,2.2%,19,1.1%,12
KC,29.7%,3,27.6%,3,7-4,25.3%,2,-2.7%,12,1.7%,9
LAC,-4.7%,19,-3.8%,19,4-7,4.2%,13,6.1%,23,-2.8%,29
LAR,2.3%,13,0.6%,14,6-4,-5.0%,20,-6.7%,8,0.6%,13
MIA,-48.6%,32,-45.3%,32,2-8,-27.1%,30,22.0%,32,0.4%,15
MIN,21.1%,6,21.0%,7,8-3,14.3%,6,-7.0%,7,-0.2%,18
NE,38.4%,1,35.7%,1,9-1,4.7%,12,-32.1%,1,1.5%,10
NO,21.6%,7,23.9%,6,8-2,10.8%,8,-8.7%,5,2.1%,7
NYG,-24.1%,28,-23.4%,29,2-8,-14.5%,27,8.2%,27,-1.4%,23
NYJ,-23.6%,30,-23.1%,28,3-7,-30.4%,32,-4.0%,11,2.8%,3
OAK,2.5%,12,4.6%,11,6-4,12.6%,7,9.8%,29,-0.3%,19
PHI,11.6%,11,14.2%,9,5-5,5.0%,11,-7.2%,6,-0.6%,21
PIT,-6.0%,20,-4.7%,20,5-5,-18.3%,28,-12.2%,3,0.1%,17
SEA,15.5%,9,15.5%,8,8-2,20.5%,4,2.7%,21,-2.3%,27
SF,25.9%,2,24.7%,5,9-1,0.4%,16,-25.1%,2,0.3%,16
TB,-11.8%,22,-11.6%,26,3-7,-9.3%,24,4.5%,22,2.1%,6
TEN,-7.8%,23,-8.6%,23,5-5,-4.0%,19,0.3%,16,-3.5%,32
WAS,-38.0%,29,-41.9%,31,1-9,-28.3%,31,9.0%,28,-0.6%,20
