Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+4.0 / -4.0,ARI,GNB,-,+4.0 / -4.0
+4.5 / -4.5,ATL,CIN,-,+4.5 / -4.5
+2.0 / -2.0,BAL,NOR,-,+2.0 / -2.0
+5.5 / -5.5,DAL,CAR,-,+5.5 / -5.5
+3.0 / -3.0,HOU,TEN,-,+3.0 / -3.0
+3.0 / -3.0,IND,DEN,-,+3.0 / -3.0
+8.0 / -8.0,JAX,PHI,-,+8.0 / -8.0
-2.5 / 2.5,NWE,MIN,-,-2.5 / 2.5
+1.5 / -1.5,NYJ,CLE,-,+1.5 / -1.5
-9.0 / 9.0,PIT,OAK,-,-9.0 / 9.0
+5.0 / -5.0,SEA,KAN,-,+5.0 / -5.0
+16.5 / -16.5,SFO,CHI,-,+16.5 / -16.5
+9.0 / -9.0,STL,SDG,-,+9.0 / -9.0
+9.5 / -9.5,TAM,NYG,-,+9.5 / -9.5
