TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,20.6%,10,23.0%,8,7-3,16.9%,8,-3.0%,12,0.7%,14
ATL,4.2%,17,2.9%,17,5-5,13.8%,13,10.0%,24,0.4%,17
BAL,25.4%,5,23.4%,7,5-5,16.6%,10,-8.8%,4,0.0%,19
BUF,-20.9%,26,-23.7%,26,3-7,-22.6%,30,-0.2%,16,1.5%,11
CAR,-7.4%,22,-2.7%,19,4-6,-4.0%,20,-1.9%,14,-5.3%,30
CHI,-17.1%,25,-17.8%,24,4-6,-17.2%,27,5.5%,20,5.6%,3
CIN,8.0%,11,7.4%,15,7-3,12.4%,17,1.8%,17,-2.6%,26
CLE,-41.6%,30,-41.0%,31,1-9,-28.7%,31,21.3%,30,8.4%,2
DAL,18.8%,8,19.0%,10,7-3,18.7%,5,2.9%,18,3.0%,8
DEN,6.8%,12,4.5%,16,6-4,5.6%,18,-4.5%,10,-3.3%,28
DET,-52.3%,32,-53.6%,32,2-8,-22.4%,29,25.0%,32,-4.9%,29
GB,24.7%,9,24.1%,6,6-4,19.5%,4,-12.1%,1,-6.8%,31
HOU,9.3%,15,12.2%,13,5-5,16.6%,9,10.4%,25,3.1%,7
IND,35.9%,2,35.6%,2,10-0,26.9%,2,-8.5%,5,0.5%,16
JAC,-1.5%,18,-3.0%,20,6-4,12.5%,15,13.9%,28,-0.1%,20
KC,-26.7%,27,-26.7%,27,3-7,-19.0%,28,10.9%,26,3.3%,6
MIA,11.7%,13,13.6%,11,5-5,12.5%,16,4.5%,19,3.7%,5
MIN,27.6%,6,29.1%,4,9-1,17.1%,7,-1.6%,15,8.9%,1
NE,39.7%,1,42.0%,1,7-3,32.5%,1,-5.9%,9,1.2%,12
NO,32.5%,3,30.4%,3,10-0,26.0%,3,-7.9%,7,-1.4%,23
NYG,12.4%,14,11.0%,14,6-4,12.7%,14,-2.7%,13,-3.0%,27
NYJ,-1.6%,19,-5.0%,21,4-6,-11.3%,23,-7.5%,8,2.1%,10
OAK,-38.4%,31,-38.2%,30,3-7,-32.9%,32,5.9%,21,0.4%,18
PHI,30.4%,4,28.6%,5,6-4,14.2%,12,-10.9%,2,5.3%,4
PIT,18.5%,7,20.7%,9,6-4,16.5%,11,-9.0%,3,-7.0%,32
SD,9.9%,16,12.9%,12,7-3,18.6%,6,7.7%,22,-0.9%,21
SEA,-17.9%,23,-19.3%,25,3-7,-9.3%,21,9.5%,23,1.0%,13
SF,-2.0%,20,-2.2%,18,4-6,-10.5%,22,-7.9%,6,0.6%,15
STL,-38.5%,29,-37.2%,29,1-9,-15.0%,25,21.9%,31,-1.5%,24
TB,-33.8%,28,-33.2%,28,1-9,-15.7%,26,20.5%,29,2.4%,9
TEN,-12.8%,24,-13.1%,23,4-6,3.3%,19,13.7%,27,-2.4%,25
WAS,-9.4%,21,-8.7%,22,3-7,-11.4%,24,-3.0%,11,-1.0%,22
