Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+2.0 / -2.0,ARI,TEN,-,+2.0 / -2.0
+3.5 / -3.5,CAR,NYJ,-,+3.5 / -3.5
+10.0 / -10.0,CHI,MIN,-,+10.0 / -10.0
+12.0 / -12.0,CLE,CIN,-,+12.0 / -12.0
-11.5 / 11.5,GNB,DET,-,-11.5 / 11.5
-3.0 / 3.0,IND,HOU,-,-3.0 / 3.0
+3.0 / -3.0,JAX,SFO,-,+3.0 / -3.0
+13.5 / -13.5,KAN,SDG,-,+13.5 / -13.5
-3.5 / 3.5,MIA,BUF,-,-3.5 / 3.5
+1.5 / -1.5,NWE,NOR,-,+1.5 / -1.5
-4.5 / 4.5,NYG,DEN,-,-4.5 / 4.5
+13.5 / -13.5,OAK,DAL,-,+13.5 / -13.5
+8.0 / -8.0,PIT,BAL,-,+8.0 / -8.0
-3.5 / 3.5,SEA,STL,-,-3.5 / 3.5
+12.5 / -12.5,TAM,ATL,-,+12.5 / -12.5
+10.0 / -10.0,WAS,PHI,-,+10.0 / -10.0
