Game,EGO,Spread,Spread Target,Pick
GB @ DET,15.17,-11.5,"[-11.5, -13.5]",GB
OAK @ DAL,-14.16,13.5,"[12.5, 10.5]",
NYG @ DEN,-0.79,-4.5,"[-0.5, -3.0]",
SEA @ STL,1.76,-3.5,"[-3.5, -5.5]",STL
CAR @ NYJ,-1.72,3.5,"[5.5, 3.0]",CAR
CLE @ CIN,-12.42,12.0,"[11.0, 8.5]",
IND @ HOU,3.0,-3.0,"[0.5, -1.5]",
MIA @ BUF,6.18,-3.5,"[-2.5, -4.5]",MIA
TB @ ATL,-9.91,12.5,"[13.5, 11.5]",TB
WAS @ PHI,-10.16,10.0,"[14.0, 11.5]",
JAC @ SF,-2.4,3.0,"[6.0, 4.0]",
KC @ SD,-10.63,13.5,"[14.5, 12.0]",KC
ARI @ TEN,5.91,2.0,"[-2.0, -4.5]",
CHI @ MIN,-12.12,10.0,"[10.5, 8.5]",MIN
PIT @ BAL,-2.81,8.0,"[6.5, 4.5]",
NE @ NO,0.34,1.5,"[3.5, 1.0]",NE
