Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-9.5 / 9.5,ARI,SFO,-,-9.5 / 9.5
+3.5 / -3.5,BAL,CLE,-,+3.5 / -3.5
+5.5 / -5.5,BUF,KAN,-,+5.5 / -5.5
+1.5 / -1.5,CAR,DAL,-,+1.5 / -1.5
+8.5 / -8.5,CHI,GNB,-,+8.5 / -8.5
+4.0 / -4.0,MIA,NYJ,-,+4.0 / -4.0
+2.5 / -2.5,MIN,ATL,-,+2.5 / -2.5
+3.0 / -3.0,NOR,HOU,-,+3.0 / -3.0
-2.5 / 2.5,NWE,DEN,-,-2.5 / 2.5
-2.5 / 2.5,NYG,WAS,-,-2.5 / 2.5
-1.0 / 1.0,OAK,TEN,-,-1.0 / 1.0
+2.0 / -2.0,PHI,DET,-,+2.0 / -2.0
+3.5 / -3.5,PIT,SEA,-,+3.5 / -3.5
+4.5 / -4.5,SDG,JAX,-,+4.5 / -4.5
+8.5 / -8.5,STL,CIN,-,+8.5 / -8.5
+3.0 / -3.0,TAM,IND,-,+3.0 / -3.0
