Game,EGO,Spread,Spread Target,Pick
PHI @ DET,1.06,2.0,"[2.5, 0.5]",PHI
CAR @ DAL,8.05,1.5,"[-4.5, -6.5]",
CHI @ GB,-6.52,8.5,"[10.0, 8.0]",CHI
MIA @ NYJ,-5.13,4.0,"[3.5, 1.5]",
MIN @ ATL,-1.39,2.5,"[5.0, 3.0]",
NO @ HOU,-4.42,3.0,"[3.0, 0.5]",HOU
OAK @ TEN,0.36,-1.0,"[-2.0, -4.0]",
STL @ CIN,-10.04,8.5,"[8.5, 6.5]",CIN
TB @ IND,-0.99,3.0,"[4.5, 2.5]",TB
BUF @ KC,-5.75,5.5,"[9.5, 7.0]",
NYG @ WAS,-0.53,-2.5,"[-1.0, -3.0]",WAS
SD @ JAC,-3.77,4.5,"[7.5, 5.5]",
ARI @ SF,12.89,-9.5,"[-9.0, -11.5]",ARI
PIT @ SEA,-4.25,3.5,"[3.0, 0.5]",
NE @ DEN,2.16,-2.5,"[-3.5, -6.0]",
BAL @ CLE,1.39,3.5,"[2.5, 0.0]",
