Game,EGO,Spread,Spread Target,Pick
KC @ SD,-8.22,7.0,"[6.5, 4.5]",
ARI @ GB,-10.57,10.5,"[14.5, 12.0]",
BUF @ HOU,-11.02,11.5,"[14.5, 12.5]",
DEN @ CIN,9.78,-5.5,"[-6.0, -8.5]",
MIA @ IND,6.37,-2.0,"[-2.5, -5.0]",
BAL @ CLE,4.34,-3.5,"[-0.5, -3.0]",
CHI @ TEN,12.73,-5.0,"[-9.0, -11.0]",
DET @ JAC,5.59,-6.0,"[-7.0, -9.5]",
CAR @ WAS,-3.45,3.0,"[2.0, -0.0]",
TB @ OAK,-0.15,1.0,"[4.0, 1.5]",
MIN @ SEA,-5.92,4.0,"[4.5, 2.0]",SEA
PIT @ NYG,-8.31,3.5,"[7.0, 4.5]",
DAL @ ATL,-6.41,4.5,"[5.0, 2.5]",ATL
PHI @ NO,-1.85,3.0,"[5.5, 3.5]",
