Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+10.5 / -10.5,ARI,GNB,-,+10.5 / -10.5
-3.5 / 3.5,BAL,CLE,-,-3.5 / 3.5
+11.5 / -11.5,BUF,HOU,-,+11.5 / -11.5
+3.0 / -3.0,CAR,WAS,-,+3.0 / -3.0
-5.0 / 5.0,CHI,TEN,-,-5.0 / 5.0
+4.5 / -4.5,DAL,ATL,-,+4.5 / -4.5
-5.5 / 5.5,DEN,CIN,-,-5.5 / 5.5
-6.0 / 6.0,DET,JAX,-,-6.0 / 6.0
+7.0 / -7.0,KAN,SDG,-,+7.0 / -7.0
-2.0 / 2.0,MIA,IND,-,-2.0 / 2.0
+4.0 / -4.0,MIN,SEA,-,+4.0 / -4.0
+3.0 / -3.0,PHI,NOR,-,+3.0 / -3.0
+3.5 / -3.5,PIT,NYG,-,+3.5 / -3.5
+1.0 / -1.0,TAM,OAK,-,+1.0 / -1.0
