TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-10.4%,21,-10.8%,21,4-4,-22.0%,30,-12.4%,6,-0.8%,21
ATL,21.1%,9,21.0%,8,7-0,11.5%,7,-6.0%,10,3.6%,10
BAL,4.8%,12,4.3%,11,5-2,3.7%,12,7.4%,24,8.4%,1
BUF,-16.7%,26,-16.6%,27,3-4,-2.0%,17,22.2%,30,7.6%,4
CAR,-10.5%,23,-10.7%,20,1-6,-7.5%,22,-1.1%,16,-4.2%,26
CHI,28.7%,4,28.9%,5,6-1,-12.5%,25,-33.4%,1,7.8%,3
CIN,-15.9%,25,-15.8%,26,3-4,-4.1%,19,16.7%,28,4.8%,6
CLE,-25.0%,29,-25.0%,28,2-6,-20.5%,29,8.5%,25,4.0%,8
DAL,1.4%,18,1.6%,14,3-4,0.2%,15,-5.8%,11,-4.6%,27
DEN,36.7%,5,36.7%,1,4-3,22.5%,2,-15.0%,5,-0.8%,20
DET,-1.1%,15,-0.9%,15,3-4,13.8%,6,6.0%,23,-8.9%,31
GB,28.7%,2,28.5%,6,5-3,20.0%,4,-7.6%,8,1.0%,15
HOU,25.1%,7,24.9%,7,6-1,10.7%,9,-24.1%,2,-9.6%,32
IND,-25.7%,28,-25.9%,29,4-3,0.3%,14,23.5%,31,-2.5%,23
JAC,-35.6%,30,-35.6%,30,1-6,-22.7%,31,10.3%,26,-2.6%,24
KC,-41.7%,32,-41.4%,32,1-6,-29.1%,32,12.9%,27,0.3%,17
MIA,12.3%,10,12.2%,10,4-3,-4.4%,20,-10.1%,7,6.6%,5
MIN,3.6%,11,3.2%,13,5-3,-6.9%,21,-2.3%,15,8.2%,2
NE,33.9%,6,34.2%,3,5-3,31.2%,1,0.5%,18,3.3%,11
NO,-11.4%,19,-11.5%,22,2-5,11.2%,8,25.2%,32,2.6%,13
NYG,32.0%,3,32.4%,4,6-2,22.0%,3,-5.2%,12,4.7%,7
NYJ,-6.9%,17,-6.6%,18,3-5,-14.5%,27,-3.8%,13,3.8%,9
OAK,-12.9%,27,-12.4%,24,3-4,-2.3%,18,4.9%,21,-5.7%,28
PHI,-9.7%,22,-9.8%,19,3-4,-12.4%,24,-6.8%,9,-4.0%,25
PIT,3.7%,16,4.0%,12,4-3,8.9%,10,4.5%,20,-0.7%,19
SD,-13.3%,24,-13.4%,25,3-4,-13.9%,26,2.1%,19,2.7%,12
SEA,20.3%,8,20.3%,9,4-4,-1.4%,16,-19.5%,3,2.3%,14
SF,36.3%,1,36.1%,2,6-2,19.7%,5,-16.7%,4,-0.2%,18
STL,-11.6%,14,-11.8%,23,3-5,-10.2%,23,-0.6%,17,-2.0%,22
TB,-3.2%,20,-3.0%,16,3-4,1.3%,13,-2.6%,14,-7.1%,29
TEN,-35.7%,31,-35.9%,31,3-5,-17.7%,28,19.0%,29,0.9%,16
WAS,-5.2%,13,-5.1%,17,3-5,7.6%,11,5.5%,22,-7.3%,30
