Game,EGO,Spread,Spread Target,Pick
MIN @ ARI,-7.13,8.5,"[11.0, 8.5]",MIN
BUF @ PHI,0.45,1.0,"[3.0, 1.0]",BUF
DET @ STL,0.88,-3.5,"[-2.5, -4.5]",STL
IND @ JAC,-1.59,1.5,"[5.5, 3.0]",
NO @ TB,-7.05,4.5,"[5.5, 3.5]",TB
PIT @ CIN,-4.42,2.5,"[3.0, 0.5]",CIN
SEA @ BAL,7.49,-11.0,"[-9.0, -11.0]",BAL
SF @ CLE,-3.73,1.5,"[2.0, 0.0]",CLE
TEN @ NYJ,-9.04,7.0,"[7.5, 5.5]",NYJ
WAS @ CHI,-1.85,3.5,"[5.5, 3.5]",WAS
ATL @ CAR,-10.61,7.5,"[9.0, 7.0]",CAR
SD @ KC,-13.93,10.5,"[12.5, 10.0]",KC
OAK @ DEN,-5.43,6.5,"[9.0, 7.0]",
DAL @ GB,-6.0,6.5,"[9.5, 7.5]",
NE @ HOU,3.09,-3.5,"[-4.5, -7.0]",
NYG @ MIA,-0.55,-1.0,"[-1.0, -3.0]",MIA
