Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+7.5 / -7.5,ATL,CAR,-,+7.5 / -7.5
+1.0 / -1.0,BUF,PHI,-,+1.0 / -1.0
+6.5 / -6.5,DAL,GNB,-,+6.5 / -6.5
-3.5 / 3.5,DET,STL,-,-3.5 / 3.5
+1.5 / -1.5,IND,JAX,-,+1.5 / -1.5
+8.5 / -8.5,MIN,ARI,-,+8.5 / -8.5
+4.5 / -4.5,NOR,TAM,-,+4.5 / -4.5
-3.5 / 3.5,NWE,HOU,-,-3.5 / 3.5
-1.0 / 1.0,NYG,MIA,-,-1.0 / 1.0
+6.5 / -6.5,OAK,DEN,-,+6.5 / -6.5
+2.5 / -2.5,PIT,CIN,-,+2.5 / -2.5
+10.5 / -10.5,SDG,KAN,-,+10.5 / -10.5
-11.0 / 11.0,SEA,BAL,-,-11.0 / 11.0
+1.5 / -1.5,SFO,CLE,-,+1.5 / -1.5
+7.0 / -7.0,TEN,NYJ,-,+7.0 / -7.0
+3.5 / -3.5,WAS,CHI,-,+3.5 / -3.5
