Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ATL,CAR,5,Sun,October 11,1:00PM,1,boxscore,16,23,437,0,373,1,-0.5%,1.5
BAL,CIN,5,Sun,October 11,1:00PM,1,boxscore,27,3,332,1,205,3,17.7%,-4.0
BUF,TEN,5,Tue,October 13,7:00PM,0,boxscore,16,42,334,0,370,3,6.3%,-4.5
CAR,ATL,5,Sun,October 11,1:00PM,0,boxscore,23,16,437,0,373,1,-11.7%,-1.5
CHI,TB,5,Thu,October 8,8:20PM,1,boxscore,20,19,243,1,339,1,-4.9%,4.0
CIN,BAL,5,Sun,October 11,1:00PM,0,boxscore,3,27,332,1,205,3,-12.1%,7.0
CLE,IND,5,Sun,October 11,4:25PM,1,boxscore,32,23,385,2,308,2,-2.6%,-2.5
DAL,NYG,5,Sun,October 11,4:25PM,1,boxscore,37,34,402,2,300,1,3.6%,11.0
IND,CLE,5,Sun,October 11,4:25PM,0,boxscore,23,32,385,2,308,2,12.3%,-3.0
KC,LV,5,Sun,October 11,1:00PM,1,boxscore,32,40,490,1,413,1,22.6%,-20.0
LAC,NO,5,Mon,October 12,8:15PM,0,boxscore,27,30,408,1,350,0,-3.2%,-3.5
LAR,WAS,5,Sun,October 11,1:00PM,0,boxscore,30,10,429,1,108,0,8.3%,-3.5
LV,KC,5,Sun,October 11,1:00PM,0,boxscore,40,32,490,1,413,1,-6.7%,2.5
MIA,SF,5,Sun,October 11,4:05PM,0,boxscore,43,17,436,0,259,3,-14.1%,3.5
MIN,SEA,5,Sun,October 11,8:20PM,0,boxscore,26,27,314,1,449,2,-0.7%,6.5
NO,LAC,5,Mon,October 12,8:15PM,1,boxscore,30,27,408,1,350,0,19.6%,-4.0
NYG,DAL,5,Sun,October 11,4:25PM,0,boxscore,34,37,402,2,300,1,-14.5%,12.5
NYJ,ARI,5,Sun,October 11,1:00PM,1,boxscore,10,30,496,1,285,0,-16.6%,20.0
PHI,PIT,5,Sun,October 11,1:00PM,0,boxscore,29,38,367,1,336,2,-5.3%,-11.0
PIT,PHI,5,Sun,October 11,1:00PM,1,boxscore,38,29,367,1,336,2,11.4%,4.0
SEA,MIN,5,Sun,October 11,8:20PM,1,boxscore,27,26,314,1,449,2,12.5%,-3.0
SF,MIA,5,Sun,October 11,4:05PM,1,boxscore,17,43,436,0,259,3,7.3%,3.0
TB,CHI,5,Thu,October 8,8:20PM,0,boxscore,19,20,243,1,339,1,15.2%,-12.5
TEN,BUF,5,Tue,October 13,7:00PM,1,boxscore,42,16,334,0,370,3,2.1%,-7.0
