Game,EGO,Spread,Spread Target,Pick
BUF @ BAL,-12.1,12.5,"[16.0, 13.5]",
CLE @ NO,-8.18,12.5,"[12.0, 9.5]",
PHI @ TEN,-2.18,3.0,"[6.0, 3.5]",
PIT @ MIA,4.21,-3.0,"[-0.5, -2.5]",
STL @ TB,-3.97,3.0,"[2.5, 0.5]",
JAC @ KC,-9.4,9.0,"[8.0, 5.5]",
SF @ CAR,2.86,-2.5,"[1.0, -1.5]",
WAS @ CHI,-0.88,3.0,"[4.5, 2.5]",WAS
CIN @ ATL,-5.84,3.5,"[4.5, 2.0]",ATL
ARI @ SEA,-11.25,6.5,"[10.0, 7.5]",
NE @ SD,2.14,1.5,"[1.5, -0.5]",NE
OAK @ DEN,-8.77,7.0,"[7.5, 5.0]",DEN
MIN @ GB,-4.77,2.5,"[3.5, 1.0]",GB
NYG @ DAL,3.98,3.5,"[-0.5, -2.5]",
