TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-49.0%,32,-37.2%,31,3-2,-39.1%,31,10.2%,25,0.2%,14
ATL,13.2%,6,13.9%,10,4-2,9.7%,13,-5.0%,8,-1.5%,19
BAL,11.5%,12,15.6%,7,4-2,7.2%,15,-2.9%,13,1.5%,12
BUF,-38.8%,30,-31.2%,29,0-5,-11.0%,25,30.1%,32,2.3%,11
CAR,-42.3%,31,-32.9%,30,0-5,-49.1%,32,-10.0%,5,-3.2%,23
CHI,-11.5%,24,-7.0%,21,4-2,-23.3%,30,-3.3%,11,8.6%,2
CIN,-2.8%,16,-2.8%,19,2-3,-3.1%,19,-0.3%,16,0.0%,16
CLE,-13.6%,23,-15.1%,25,1-5,-3.5%,20,10.9%,26,0.8%,13
DAL,-2.7%,15,-1.2%,18,1-4,13.1%,9,10.1%,24,-5.7%,29
DEN,-7.5%,25,-7.2%,22,2-4,11.6%,12,15.5%,28,-3.5%,25
DET,-4.6%,18,-9.9%,23,1-5,-4.1%,22,7.8%,22,7.3%,5
GB,11.3%,7,11.6%,12,3-3,14.6%,7,-3.5%,10,-6.7%,31
HOU,0.7%,20,-3.1%,20,4-2,30.9%,2,28.5%,31,-1.7%,20
IND,14.3%,11,15.4%,8,4-2,26.6%,3,6.8%,21,-5.6%,28
JAC,-20.7%,26,-19.0%,27,3-3,-4.0%,21,24.3%,30,7.6%,3
KC,20.2%,2,14.6%,9,3-2,11.6%,10,-3.1%,12,5.4%,7
MIA,-1.4%,22,2.3%,15,3-2,4.8%,17,1.6%,18,-4.7%,27
MIN,-5.6%,21,-0.1%,16,2-3,-17.1%,27,-9.1%,6,2.4%,10
NE,29.0%,1,27.1%,2,4-1,35.7%,1,14.3%,27,7.6%,4
NO,13.4%,14,12.7%,11,4-2,14.1%,8,-0.3%,17,-1.1%,17
NYG,30.0%,5,26.5%,3,4-2,11.6%,11,-24.5%,1,-6.1%,30
NYJ,23.3%,3,21.0%,6,5-1,16.4%,6,-0.6%,15,6.3%,6
OAK,-39.5%,29,-37.8%,32,2-4,-20.8%,29,17.3%,29,-1.3%,18
PHI,23.3%,10,21.8%,4,4-2,26.1%,4,-1.1%,14,-4.0%,26
PIT,32.6%,4,31.0%,1,4-1,7.7%,14,-21.1%,3,3.8%,8
SD,10.6%,9,7.5%,13,2-4,17.4%,5,-12.5%,4,-19.3%,32
SEA,9.9%,13,5.4%,14,3-2,-4.3%,23,-3.7%,9,10.6%,1
SF,-8.2%,27,-10.1%,24,1-5,-13.1%,26,-6.8%,7,-1.9%,21
STL,-24.2%,28,-23.6%,28,3-3,-18.1%,28,2.6%,19,-3.5%,24
TB,-16.3%,17,-15.6%,26,3-2,-7.4%,24,6.8%,20,-2.1%,22
TEN,27.6%,8,21.6%,5,4-2,2.9%,18,-21.2%,2,3.5%,9
WAS,-4.2%,19,-0.9%,17,3-3,5.7%,16,10.0%,23,0.1%,15
