TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-26.2%,30,-21.3%,31,1-5,-31.3%,31,-7.3%,10,-2.2%,20
ATL,-14.3%,27,-8.5%,23,2-4,9.3%,11,22.5%,31,-1.1%,17
BAL,25.0%,6,18.9%,3,4-2,4.9%,13,-19.7%,2,0.5%,13
BUF,-36.5%,32,-31.9%,32,2-4,-53.4%,32,-19.1%,3,-2.2%,21
CAR,7.7%,12,4.1%,12,3-2,6.8%,12,3.2%,21,4.0%,6
CHI,27.6%,2,12.3%,6,3-2,3.9%,14,-21.2%,1,2.6%,9
CIN,6.7%,11,3.7%,13,4-2,12.2%,8,5.7%,24,0.2%,14
CLE,-19.4%,25,-14.3%,27,2-3-1,-24.1%,30,-12.5%,6,-7.8%,32
DAL,-4.9%,23,-1.1%,18,3-3,-8.9%,25,-2.5%,13,1.5%,11
DEN,5.4%,16,1.6%,15,2-4,9.5%,10,1.4%,18,-2.6%,23
DET,-26.1%,31,-15.7%,28,2-3,-4.8%,20,16.3%,30,-5.0%,30
GB,4.5%,13,6.5%,11,3-2-1,13.1%,6,4.5%,22,-4.0%,29
HOU,-1.9%,15,-1.1%,17,3-3,-14.9%,27,-7.5%,8,5.5%,4
IND,-4.5%,18,-3.4%,21,1-5,-7.1%,23,1.1%,16,3.8%,7
JAX,3.6%,8,0.8%,16,3-3,-11.6%,26,-13.6%,5,1.7%,10
KC,34.5%,3,23.3%,2,5-1,31.8%,2,13.2%,28,15.9%,1
LAC,23.3%,5,16.1%,4,4-2,26.8%,3,-2.6%,12,-6.1%,31
LAR,31.7%,1,26.2%,1,6-0,33.3%,1,1.3%,17,-0.3%,15
MIA,16.7%,7,9.5%,9,4-2,2.5%,15,-7.4%,9,6.8%,3
MIN,-6.7%,24,-1.4%,19,3-2-1,-0.2%,16,2.7%,20,-3.9%,28
NE,8.7%,9,11.8%,8,4-2,13.0%,7,1.6%,19,-2.7%,24
NO,14.6%,4,15.5%,5,4-1,21.0%,4,7.2%,26,0.8%,12
NYG,-11.6%,19,-12.1%,26,1-5,-1.2%,17,8.8%,27,-1.5%,19
NYJ,2.4%,17,-1.8%,20,3-3,-16.4%,28,-8.5%,7,10.3%,2
OAK,-24.1%,26,-18.4%,30,1-5,-5.8%,22,14.9%,29,-3.4%,27
PHI,-0.9%,21,2.8%,14,3-3,-4.7%,19,-5.0%,11,-1.2%,18
PIT,8.4%,10,11.9%,7,3-2-1,11.3%,9,0.3%,14,-2.6%,22
SEA,10.7%,14,8.8%,10,3-3,-2.1%,18,-13.8%,4,-1.1%,16
SF,-16.5%,29,-16.4%,29,1-5,-7.2%,24,6.1%,25,-3.1%,26
TB,-15.5%,28,-11.7%,25,2-3,13.8%,5,26.5%,32,-2.9%,25
TEN,-15.1%,20,-10.4%,24,3-3,-19.3%,29,0.6%,15,4.9%,5
WAS,-8.3%,22,-4.8%,22,3-2,-5.7%,21,5.3%,23,2.7%,8
