Game,EGO,Spread,Spread Target,Pick
DEN @ ARI,2.88,-1.0,"[1.0, -1.5]",DEN
BUF @ IND,-8.33,7.0,"[7.0, 4.5]",IND
CAR @ PHI,-1.94,5.0,"[5.5, 3.5]",CAR
CLE @ TB,-2.79,3.5,"[6.5, 4.5]",
DET @ MIA,-7.64,-3.0,"[6.0, 4.0]",
HOU @ JAX,-2.64,3.5,"[6.5, 4.0]",
MIN @ NYJ,-2.14,-3.5,"[0.5, -1.5]",
NE @ CHI,-2.34,-1.0,"[1.0, -1.5]",CHI
NO @ BAL,-2.96,2.5,"[1.5, -0.5]",
DAL @ WAS,-1.41,-1.0,"[-0.0, -2.5]",WAS
LAR @ SF,7.42,-8.0,"[-9.0, -11.0]",
CIN @ KC,-6.45,6.5,"[10.0, 8.0]",
TEN @ LAC,-7.91,6.5,"[6.5, 4.0]",LAC
NYG @ ATL,-3.01,4.5,"[6.5, 4.5]",NYG
