Game,EGO,Spread,Spread Target,Pick
TB @ MIN,-5.28,5.5,"[9.0, 7.0]",
WAS @ PIT,-2.36,4.5,"[6.0, 4.0]",WAS
ATL @ PHI,3.54,3.0,"[0.0, -2.0]",
CAR @ CHI,-9.83,7.5,"[8.5, 6.0]",CHI
SEA @ DET,2.41,3.0,"[1.5, -1.0]",
JAC @ GB,-15.81,16.0,"[19.5, 17.5]",
IND @ TEN,0.92,3.0,"[3.0, 0.5]",IND
MIA @ NYJ,0.25,1.0,"[3.5, 1.0]",MIA
NE @ STL,4.96,-7.0,"[-6.5, -8.5]",STL
SD @ CLE,0.23,-3.0,"[-1.5, -4.0]",CLE
OAK @ KC,1.98,1.0,"[1.5, -0.5]",OAK
NYG @ DAL,5.17,-2.5,"[-1.5, -3.5]",NYG
NO @ DEN,-8.16,6.5,"[6.5, 4.5]",DEN
SF @ ARI,6.81,-7.0,"[-3.0, -5.5]",
