TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,-6.6%,19,-8.0%,23,4-3,-21.8%,30,-14.9%,5,0.4%,18
ATL,18.4%,8,18.5%,8,6-0,7.6%,10,-6.6%,11,4.1%,9
BAL,4.6%,10,4.4%,12,5-2,3.0%,12,6.9%,23,8.4%,3
BUF,-17.3%,27,-15.9%,26,3-4,-2.7%,17,22.2%,31,7.6%,4
CAR,-11.1%,22,-7.4%,22,1-5,-6.6%,23,1.3%,17,-3.2%,25
CHI,31.2%,3,28.3%,5,5-1,-10.4%,24,-34.6%,1,7.0%,5
CIN,-16.0%,23,-14.7%,25,3-4,-4.7%,20,16.1%,28,4.8%,6
CLE,-23.8%,28,-23.5%,29,1-6,-18.0%,28,10.2%,25,4.4%,7
DAL,-4.2%,18,-2.9%,17,3-3,0.8%,13,0.1%,16,-4.9%,26
DEN,30.7%,5,25.9%,6,3-3,19.9%,4,-11.1%,6,-0.3%,19
DET,-1.7%,16,-2.3%,16,2-4,11.1%,8,2.5%,18,-10.3%,32
GB,34.1%,2,33.2%,1,4-3,26.0%,3,-7.4%,10,0.7%,17
HOU,23.9%,9,22.0%,7,6-1,9.6%,9,-23.9%,3,-9.6%,31
IND,-22.1%,29,-20.7%,28,3-3,-1.9%,14,19.5%,29,-0.7%,20
JAC,-36.8%,31,-32.3%,30,1-5,-24.3%,31,14.7%,26,2.2%,13
KC,-44.7%,32,-35.4%,32,1-5,-28.1%,32,15.4%,27,-1.2%,21
MIA,12.1%,12,7.6%,11,3-3,-2.8%,18,-10.7%,7,4.2%,8
MIN,10.4%,11,8.1%,10,5-2,-2.6%,16,-4.5%,12,8.6%,2
NE,27.5%,6,28.7%,4,4-3,27.2%,1,3.0%,20,3.3%,10
NO,-5.9%,24,-1.8%,15,2-4,14.7%,6,22.7%,32,2.0%,14
NYG,31.6%,1,30.0%,3,5-2,26.4%,2,-2.3%,14,3.0%,11
NYJ,-4.2%,17,-3.6%,19,3-4,-14.2%,26,-1.4%,15,8.6%,1
OAK,-18.8%,26,-16.5%,27,2-4,-4.1%,19,7.2%,24,-7.5%,28
PHI,-10.1%,20,-7.3%,21,3-3,-14.4%,27,-10.4%,8,-6.1%,27
PIT,-3.6%,21,1.3%,13,3-3,4.3%,11,6.6%,22,-1.3%,22
SD,-14.5%,25,-12.4%,24,3-3,-12.7%,25,3.7%,21,1.9%,15
SEA,21.7%,7,18.5%,9,4-3,-5.8%,22,-25.1%,2,2.4%,12
SF,35.0%,4,32.0%,2,5-2,18.0%,5,-18.6%,4,-1.7%,23
STL,0.6%,13,-3.3%,18,3-4,-5.3%,21,-7.7%,9,-1.7%,24
TB,-6.3%,15,-6.0%,20,2-4,-2.5%,15,-3.7%,13,-7.5%,29
TEN,-37.9%,30,-34.9%,31,3-4,-19.7%,29,19.7%,30,1.5%,16
WAS,1.5%,14,0.7%,14,3-4,12.5%,7,2.7%,19,-8.3%,30
