Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+3.0 / -3.0,ATL,PHI,-,+3.0 / -3.0
+7.5 / -7.5,CAR,CHI,-,+7.5 / -7.5
+3.0 / -3.0,IND,TEN,-,+3.0 / -3.0
+16.0 / -16.0,JAX,GNB,-,+16.0 / -16.0
+1.0 / -1.0,MIA,NYJ,-,+1.0 / -1.0
+6.5 / -6.5,NOR,DEN,-,+6.5 / -6.5
-7.0 / 7.0,NWE,STL,-,-7.0 / 7.0
-2.5 / 2.5,NYG,DAL,-,-2.5 / 2.5
+1.0 / -1.0,OAK,KAN,-,+1.0 / -1.0
-3.0 / 3.0,SDG,CLE,-,-3.0 / 3.0
+3.0 / -3.0,SEA,DET,-,+3.0 / -3.0
-7.0 / 7.0,SFO,ARI,-,-7.0 / 7.0
+5.5 / -5.5,TAM,MIN,-,+5.5 / -5.5
+4.5 / -4.5,WAS,PIT,-,+4.5 / -4.5
