Game,EGO,Spread,Spread Target,Pick
KC @ OAK,7.61,-7.0,"[-4.0, -6.0]",
CIN @ HOU,-1.12,2.5,"[5.0, 2.5]",CIN
CLE @ ATL,-1.78,2.5,"[5.5, 3.5]",
DET @ NE,-4.83,7.0,"[8.5, 6.5]",DET
JAC @ IND,-8.62,13.5,"[12.5, 10.0]",
TB @ CHI,-4.4,4.5,"[8.0, 6.0]",
TEN @ PHI,-7.7,11.0,"[11.5, 9.0]",TEN
GB @ MIN,6.49,-7.5,"[-8.0, -10.0]",
STL @ SD,-3.49,5.0,"[7.0, 5.0]",STL
ARI @ SEA,-3.88,7.0,"[7.5, 5.5]",ARI
MIA @ DEN,-4.03,7.0,"[7.5, 5.5]",MIA
WAS @ SF,-8.18,9.5,"[12.0, 9.5]",WAS
DAL @ NYG,2.21,-5.0,"[-3.5, -6.0]",NYG
NYJ @ BUF,-5.81,2.5,"[4.5, 2.0]",BUF
BAL @ NO,2.25,3.0,"[1.5, -1.0]",
