Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+7.0 / -7.0,ARI,SEA,-,+7.0 / -7.0
+3.0 / -3.0,BAL,NOR,-,+3.0 / -3.0
+2.5 / -2.5,CIN,HOU,-,+2.5 / -2.5
+2.5 / -2.5,CLE,ATL,-,+2.5 / -2.5
-5.0 / 5.0,DAL,NYG,-,-5.0 / 5.0
+7.0 / -7.0,DET,NWE,-,+7.0 / -7.0
-7.5 / 7.5,GNB,MIN,-,-7.5 / 7.5
+13.5 / -13.5,JAX,IND,-,+13.5 / -13.5
-7.0 / 7.0,KAN,OAK,-,-7.0 / 7.0
+7.0 / -7.0,MIA,DEN,-,+7.0 / -7.0
+2.5 / -2.5,NYJ,BUF,-,+2.5 / -2.5
+5.0 / -5.0,STL,SDG,-,+5.0 / -5.0
+4.5 / -4.5,TAM,CHI,-,+4.5 / -4.5
+11.0 / -11.0,TEN,PHI,-,+11.0 / -11.0
+9.5 / -9.5,WAS,SFO,-,+9.5 / -9.5
