TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-24.0%,27,-17.0%,29,0-3-1,-12.7%,27,10.4%,25,-1.0%,16
ATL,-8.3%,22,-3.3%,20,1-3,-4.4%,21,-1.5%,16,-5.5%,30
BAL,16.4%,5,10.8%,7,2-2,25.3%,3,16.9%,29,8.0%,2
BUF,-3.0%,9,-6.4%,23,3-1,-13.5%,28,-19.3%,4,-8.8%,32
CAR,5.8%,15,4.1%,15,2-2,-9.5%,25,-12.3%,5,3.0%,5
CHI,10.6%,14,6.9%,11,3-1,-10.6%,26,-20.1%,3,1.0%,9
CIN,-51.4%,31,-28.9%,31,0-4,-31.8%,31,17.0%,30,-2.6%,22
CLE,5.6%,17,2.9%,18,2-2,-8.5%,24,-9.1%,8,5.0%,3
DAL,34.5%,2,19.1%,3,3-1,32.7%,2,-2.0%,15,-0.2%,14
DEN,-16.2%,25,-12.7%,27,0-4,2.3%,12,14.9%,27,-3.6%,26
DET,8.3%,11,5.6%,13,2-1-1,0.7%,14,-6.1%,11,1.5%,7
GB,8.5%,6,6.1%,12,3-1,0.5%,16,-9.4%,7,-1.4%,19
HOU,-0.7%,12,4.1%,14,2-2,-6.5%,22,-5.0%,13,0.8%,10
IND,-15.5%,19,-10.1%,25,2-2,9.1%,8,17.8%,31,-6.8%,31
JAX,-1.2%,16,-6.0%,22,2-2,1.6%,13,5.4%,21,2.6%,6
KC,27.3%,4,21.4%,2,4-0,34.6%,1,4.1%,18,-3.2%,24
LAC,-1.7%,24,8.9%,9,2-2,15.6%,5,15.2%,28,-2.1%,20
LAR,5.9%,8,11.5%,5,3-1,3.2%,11,-6.2%,10,-3.4%,25
MIA,-90.9%,32,-57.0%,32,0-4,-47.7%,32,38.6%,32,-4.6%,28
MIN,4.2%,10,3.2%,17,2-2,0.6%,15,-6.5%,9,-3.0%,23
NE,52.8%,1,33.6%,1,4-0,8.5%,9,-48.1%,1,-3.8%,27
NO,-3.6%,21,11.0%,6,3-1,-2.8%,18,9.7%,24,8.9%,1
NYG,-6.0%,26,-13.1%,28,2-2,-1.6%,17,5.3%,20,0.8%,11
NYJ,-23.1%,28,-9.6%,24,0-3,-28.0%,30,-5.8%,12,-1.0%,18
OAK,-13.8%,29,-10.3%,26,2-2,-7.1%,23,6.9%,23,0.2%,12
PHI,11.2%,18,10.1%,8,2-2,16.9%,4,5.5%,22,-0.2%,13
PIT,-8.6%,30,-3.4%,21,1-3,-3.9%,20,4.4%,19,-0.3%,15
SEA,7.3%,7,8.5%,10,3-1,12.7%,7,3.1%,17,-2.4%,21
SF,48.0%,3,14.0%,4,3-0,13.1%,6,-35.9%,2,-1.0%,17
TB,10.7%,20,-2.0%,19,2-2,5.1%,10,-10.4%,6,-4.8%,29
TEN,1.5%,13,3.9%,16,2-2,-3.0%,19,-3.2%,14,1.3%,8
WAS,-23.4%,23,-19.4%,30,0-4,-16.5%,29,11.4%,26,4.5%,4
